exercise,equipment,difficulty,link,img_link,video_link,step
Kettlebell Deadlift,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Hamstrings/Kettlebell-Deadlift,https://www.musclewiki.com/media/uploads/kettlebell-male-deadlift-front_Omfp4bo.gif,https://youtu.be/Cenw3VFlmWc,"1. Stand with your feet shoulder width apart holding the kettlebell with both hands in front of your thighs.
2. Bend forward at the hips bringing the kettlebell to the floor while you slightly bend your knees, keeping your back straight.
3. Return to standing position and repeat."
Staggered Deadlift,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Hamstrings/Staggered-Deadlift,https://www.musclewiki.com/media/uploads/kettlebell-male-staggereddeadlift-front.gif,https://youtu.be/sjeoL90gh-A,"1. Stand with your feet shoulder width apart, shifting one foot behind you. Hold the kettlebell in both hands in front of your thighs.
2. Bend forward at the hips bringing the kettlebell to the floor while you slightly bend your knees and keep your back straight.
3. Return to the upright position and repeat."
Goblet Good Morning,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Lowerback/Goblet-Good-Morning,https://www.musclewiki.com/media/uploads/kettlebell-male-gobletgoodmorning-front.gif,https://youtu.be/NaxfFSPhR6A,"1. Stand with your feet shoulder width apart holding the kettlebell with both hands in front of your chest.
2. Bend forward at the hips keeping your back and knees straight and the kettlebell close to your chest.
3. Return to standing position and thrust your pelvis forward."
Lower back Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lowerback/Lower-back-Stretch-Variation-Four,https://www.musclewiki.com/media/uploads/male-strech-33-front.gif,https://youtu.be/495JqctwrUs,"1. Lay flat against the ground with your knees at an angle and your feet flat against the floor.
2. Grab your legs just below the knees, and pull your legs towards your chest.
3. Pause at the apex of the stretch, then return to the starting position."
Lower back Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lowerback/Lower-back-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-34-front.gif,https://youtu.be/17l2qNT1k2M,"1. Lay on your back with your arms at either side.
2. Raise your knees so that they are pointing straight towards the ceiling. Keeping your legs pressed together, rotate your hips to either side.
3. Repeat this motion as necessary."
Lower back Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lowerback/Lower-back-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-35-front.gif,https://youtu.be/OgW52nEwU9Q,"1. Lay flat on the floor with your arms at either side.
2. With one leg, hook one foot under the joint of your other leg.
3. Rotate your hips so that your knees are pointing sideways, keeping your hooked leg flat against the floor.
4. Pause at the apex of the stretch and repeat with your other leg."
Lower back Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lowerback/Lower-back-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-36-front.gif,https://youtu.be/AQcW8Bi6Sos,"1. Sit on the floor with the tops of your feet pointed and flat on the ground. Move your arms out in front of you in the diving position, placing your palms flat against the ground.
2. With your arms fully extended, rest your buttocks on the heels of your feet, you can crawl your hands forward to extend the stretch if need be.
3. Hold the extended position for a few seconds, and return to starting position."
Good Mornings,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Hamstrings/Good-Mornings,https://www.musclewiki.com/media/uploads/bodyweight-male-goodmornings-front.gif,https://youtu.be/Zd_1yd6VtiA,"1. Stand with your feet a little past shoulder width apart with a slight bend at your knee. Place your hands behind the back of your head.
2. Keeping your back straight, rotate your hips to bring your shoulders down towards the floor. Stop when your chest is parallel with the floor."
Supermans,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Lowerback/Supermans,https://www.musclewiki.com/media/uploads/bodyweight-male-superman-front_1vlCcSX.gif,https://youtu.be/p6bK1_Jo0b8,"1. Lie face down on the floor with your arms fully extended in front of you.
2. Simultaneously raise your arms, legs and chest off of the floor and hold the position.
3. Slowly lower your arms, legs and chest back to the starting position. Repeat."
Pull Through,Cables,Beginner,https://musclewiki.com/Cables/Male/Hamstrings/Pull-Through,https://www.musclewiki.com/media/uploads/cable-male-pullthrough-front.gif,https://youtu.be/bT-CkJ5WAOs,"1. This exercise works best with a rope attachment but can be done with anything. The attachment should be set to the bottom of the machine.
2. Face away from the cable machine, straddle the cable itself, and grab the attachment.
3. Walk a few steps away.
4. Break at the hips while maintaining a flat back and mostly extended knees.
5. Push hips forward until you are back in a standing position."
Cable Glute Kickback,Cables,Beginner,https://musclewiki.com/Cables/Male/Glutes/Cable-Glute-Kickback,https://www.musclewiki.com/media/uploads/cable-male-glutekickback-front.gif,https://youtu.be/N_InWvS5Mlc,"1. Use an ankle attachment. The cable should be set to the bottom of the crossover machine.
2. Push your ankle straight back, extending at the hip. Hold for a one count when you feel a contraction in your glutes.
3. Then flex at the hips until you are back into your original position."
