exercise,equipment,difficulty,link,img_link,video_link,step
Deadlift,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Lowerback/Deadlift,https://www.musclewiki.com/media/uploads/male-barbell-deadlift-front.gif,https://youtu.be/QD-i3yUJcDQ,"1. 바 아래에서 1 피트로 서서 어깨 너비를 분리하여 손으로 막대를 잡습니다.
2. 무릎을 구부린 다음 등을 곧게 펴서 막대를 들어 올리십시오.등을 똑바로 유지하는 것이 중요합니다.
3. 전체 높이에 서서 잡으십시오.
4. 무릎을 구부리고 등을 똑바로 유지하여 바를 바닥으로 내립니다."
45 Degree Back Extension,Machine,Intermediate,https://musclewiki.com/Machine/Male/Lowerback/45-Degree-Back-Extension,https://www.musclewiki.com/media/uploads/45DegreeBackExtension-Front-021316.gif,https://www.youtube.com/watch?v=jf5cSyEu1Vk,"1. 허벅지를 패딩에 놓고 플랫폼 지지대에 발을 연결하십시오.
2. 등을 똑바로 유지하고 다리와 등이 45 ° 각도가 될 때까지 허리를 천천히 구부립니다.
3. 천천히 몸을 시작 위치로 올립니다."
Kettlebell Swing,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Hamstrings/Kettlebell-Swing,https://www.musclewiki.com/media/uploads/kettlebell-male-kb-swing-front.gif,https://youtu.be/VdgDAbEnNLg,"1. 다리 사이에 케틀벨을 잡고 무릎이 약간 구부러진 상태에서 발을 어깨 너비보다 약간 넓게 두십시오.
2. 등을 똑바로 유지하려면 케틀벨이 가슴과 함께 수평을 유지하고 조심스럽게 낮아질 때까지 케틀벨을 위로 스윙하십시오.
3. 반복하십시오"
Cable Romanian Deadlift,Cables,Intermediate,https://musclewiki.com/Cables/Male/Hamstrings/Cable-Romanian-Deadlift,https://www.musclewiki.com/media/uploads/cable-male-rdl-front.gif,https://youtu.be/Wxj3DK7Z6Ag,"1. 기계 바닥에 직선 바 또는 EZ 막대 부착물로 시작하십시오.무게를 서있는 자세로 쪼그리고 앉고 몇 걸음 뒤로 걸어갑니다.
2. 엉덩이를 뒤로 밀어 움직임을 시작한 다음 서있는 위치로 돌아올 때까지 엉덩이를 앞으로 밀어 넣으십시오.
3. 부상으로부터 자신을 보호하려면 항상 운동에 대한 평평한 등을 유지하십시오."
Single Leg Deadlift,Cables,Advanced,https://musclewiki.com/Cables/Male/Hamstrings/Single-Leg-Deadlift,https://www.musclewiki.com/media/uploads/cable-male-slrdl-front.gif,https://youtu.be/Gb6IRCLvG9c,"1. 직선 막대 또는 쉬운 막대 부착물로 시작하십시오.무게를 서있는 자세로 쪼그리고 앉고 몇 걸음 뒤로 걸어갑니다.
2. 다리 중 하나를 들어 올리는 동안 엉덩이를 뒤로 밀어 움직임을 시작하십시오.
3. 그런 다음 서있는 자세로 돌아올 때까지 엉덩이를 앞으로 밀어 넣으십시오.
4. 주어진 양의 담당자를 경쟁 한 다음 반대쪽 다리로 전환하십시오.
5. 부상으로부터 자신을 보호하려면 항상 평평한 등을 유지하십시오."
Romanian Deadlift,Band,Intermediate,https://musclewiki.com/Band/Male/Hamstrings/Romanian-Deadlift,https://www.musclewiki.com/media/uploads/band-male-rdl-side.gif,https://youtu.be/pegmZMhIgX8,no data
Dumbbell Row Bilateral,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Lats/Dumbbell-Row-Bilateral,https://www.musclewiki.com/media/uploads/male-dumbbell-bilateral-row-front.gif,https://youtu.be/dQDlg5-monc,"1. 아령을 잡고 엉덩이에서 힌지를 앞으로 옮깁니다.평평한 등을 유지하십시오.
2. 몸통이 가까워 질수록 접지와 평행을 이룰수록 운동 범위가 어깨에 더 길어집니다.운동에서 얻을 수있는 결과가 더 좋습니다.
3. 팔을 자유롭게 매달린 다음 팔꿈치 관절을 천장쪽으로 똑바로 당기십시오."
Dumbbell Goblet Good Morning,Dumbbells,Advanced,https://musclewiki.com/Dumbbells/Male/Hamstrings/Dumbbell-Goblet-Good-Morning,https://www.musclewiki.com/media/uploads/male-dumbbell-goblet-good-morning-side.gif,https://youtu.be/Goo5Eo7S05c,"1. 아령을 잔지에서 고정시킵니다.주먹 아래에서 팔꿈치를 직접.
2. 무릎을 대부분 연장하는 동안 엉덩이를 뒤로 밀어냅니다.당신은 당신의 햄스트링에 뻗어 있어야합니다.
3. 스트레치가 느껴지면 서있는 위치로 돌아올 때까지 엉덩이를 앞으로 밀어 넣습니다."
DB Romanian Deadlift,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Hamstrings/DB-Romanian-Deadlift,https://www.musclewiki.com/media/uploads/male-dumbbell-romanian-deadlift-side.gif,https://youtu.be/G6JfppwXge4,"1. 어깨 너비 자세로 서십시오.무릎을 대부분 연장하는 동안 엉덩이를 뒤로 밀어 넣으십시오.
2. 당신은 당신의 햄스트링에 뻗어 있어야합니다.스트레칭을 느낄 때 엉덩이를 앞으로 밀고 담당자를 완성하십시오.
3. 엉덩이를 완전히 앞으로 밀지 마십시오.이것은 당신의 척추를 과도하게 확장시킬 것입니다.정상적인 서있는 자세로 가십시오."
High Bar Good Morning,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Hamstrings/High-Bar-Good-Morning,https://www.musclewiki.com/media/uploads/male-bb-front-highbargm_ZP0wID2.gif,https://youtu.be/5jFBLa6jYdM,"1. 막대를 함정에 놓습니다.막대가 자궁 경부 척추를 파헤 치지 않도록 패드가 필요할 수 있습니다.
2. 엉덩이를 똑바로 밀어 넣으십시오.무릎은 대부분 연장되어야합니다 (부드러운 무릎을 생각하십시오).또한 확인하십시오
3. 햄스트링의 스트레칭처럼 느껴지는 것을 찾으십시오.스트레칭 느낌은 척추를 둥글게하지 않고 움직임 범위의 끝에 가까워 질 수 있음을 의미합니다.
4. 스트레치가 느껴질 때 서있는 위치에있을 때까지 엉덩이를 앞으로 밀어 넣습니다."
