exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Incline Dumbbell Bench Press,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Chest/Incline-Dumbbell-Bench-Press,Chest,https://www.musclewiki.com/media/uploads/male-dumbbell-incline-bench-press-front.gif,https://www.youtube.com/watch?v=rsTKuMPoGbc%7C,"1. 벤치를 30-45도 각도로 올립니다.
2. 벤치에 누워 발을 땅에 놓으십시오.
3. 똑바로 팔로 아령을 올린 다음 천천히 어깨 너비로 낮추십시오.
4. 팔이 잠겨있을 때까지 다시 시작하고 다시 시작 위치에 있습니다."
Dumbbell Incline Chest Flys,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Chest/Dumbbell-Incline-Chest-Flys,Chest,https://www.musclewiki.com/media/uploads/male-dumbbell-incline-chest-flys-front.gif,https://www.youtube.com/watch?v=kfTgKkZJnIQ%7C,"1. 벤치에 평평하게 놓고 발을 땅에 놓습니다.
2. 가슴 위에 고정 된 아령으로 운동을 시작하십시오. 팔꿈치는 약간 구부러집니다.
3. 동시에 무게를 양쪽으로 낮 춥니 다.
4. 중량이 벤치와 평행 할 때 일시 중지 한 다음 팔을 시작 위치로 올립니다."
Dumbbell Bench Press,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Chest/Dumbbell-Bench-Press,Chest,https://www.musclewiki.com/media/uploads/male-dumbbell-bench-press-front_hHiClQx.gif,https://youtu.be/VQo4v9zZBlo,"1. 땅에 발을두고 벤치에 평평하게 놓으십시오.똑바로 팔이있을 때까지 아령을 올리십시오.
2. 아령을 가슴 중간으로 낮추십시오
3. 팔꿈치를 잠글 때까지 아령을 올리십시오."
Kettlebell Chest Press,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Chest/Kettlebell-Chest-Press,Chest,https://www.musclewiki.com/media/uploads/male-kettlebell-chest-press-front.gif,https://youtu.be/15CIJwGNVjU,"1. 무릎이 구부러지고 발을 바닥에 단단히 고정시키고 바닥에 누워서 양손으로 가슴에 케틀벨을 잡고 있습니다.
2. 팔을 완전히 뻗어 팔꿈치가 잠길 때까지 케틀벨을 올리십시오.
3. 케틀벨을 시작 위치로 낮추고 반복합니다."
Single Arm Chest Fly,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Chest/Single-Arm-Chest-Fly,Chest,https://www.musclewiki.com/media/uploads/male-kettlebell-single-arm-chest-fly-front.gif,https://youtu.be/bmEIpJjogLg,"1. 무릎이 구부러지고 발이 바닥에 단단히 바닥에 눕고 팔을 몸 옆에 두십시오.
2. 한 손으로 케틀벨을 잡고 팔꿈치에 약간의 구부러진 상태로 팔을 완전히 뻗어 팔뚝을 위쪽으로 향하게하고 가슴 위로 케틀벨을 들어 올리십시오.
3. 케틀벨을 시작 위치로 낮추고 반복합니다."
Single Arm Press,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Chest/Single-Arm-Press,Chest,https://www.musclewiki.com/media/uploads/male-kettlebell-single-arm-chest-press-front.gif,https://youtu.be/OaqpmVrrz8E,"1. 무릎이 구부러지고 발이 바닥에 단단히 바닥에 누워 있으면 한쪽 팔이 몸 옆에 놓이십시오.
2. 다른 팔을 사용하여 Kettlebell을 어깨 바로 위쪽으로 팔 길이로 잡습니다.
3. 팔꿈치에서 팔꿈치로 팔꿈치가 바닥에 놓일 때까지 팔을 내립니다.
4. 시작 위치로 돌아갑니다."
Chest Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Chest/Chest-Stretch-Variation-Four,Chest,https://www.musclewiki.com/media/uploads/male-chest-stretch-variation-4-front.gif,https://youtu.be/BnhIRqwh_w8,"1. 팔을 어깨 높이로 올려 놓고 앞에 완전히 확장됩니다.
2. 천천히 팔을 어깨 높이로 등 뒤로 가져옵니다.
3. 몇 초 동안 일시 중지 한 다음 시작 위치로 돌아갑니다."
Chest Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Chest/Chest-Stretch-Variation-Three,Chest,https://www.musclewiki.com/media/uploads/male-chest-stretch-variation-3-front.gif,https://youtu.be/-8o988Co9t0,"1. 팔을 등 뒤에 놓고 손을 함께 걸어 놓으십시오.
2. 팔꿈치가 잠길 때까지 천천히 뻗은 다음 그들에게서 멀리 들어 올리십시오.
3.이 위치에서 몇 초 동안 일시 중지 한 다음 시작 위치로 되돌립니다."
Chest Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Chest/Chest-Stretch-Variation-Two,Chest,https://www.musclewiki.com/media/uploads/male-chest-stretch-variation-2-front.gif,https://youtu.be/PqLQe9NCYo0,"1. 바로 앞에 한 손으로 옆구리에 누워 있습니다.
2. 팔에 약간의 구부러지면 팔을 몸 주위로 가능한 한 천천히 돌리십시오.
3. 시작 위치로 돌아가서 반대쪽에서 반복하십시오."
Chest Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Chest/Chest-Stretch-Variation-One,Chest,https://www.musclewiki.com/media/uploads/male-chest-stretch-variation-1-front.gif,https://youtu.be/0eeCfNjTt4M,"1. 올린 벽을 사용하여 팔을 90도 각도로 놓습니다.
2. 비틀 거리는 자세로 가슴을 뻗어 벽에 기대어.
3. 몇 초 동안 일시 중지 한 다음 시작 위치로 돌아와 반대쪽에서 반복합니다."
Push Up,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Chest/Push-Up,Chest,https://www.musclewiki.com/media/uploads/male-bodyweight-pushup-front.gif,https://youtu.be/5SEZPKLXJUk,"1. 손을 어깨 바로 아래 바닥에 단단히 놓으십시오.
2. 몸 전체가 똑바로 몸을 낮추도록 등을 평평하게하십시오.
3. 어깨 뼈를 뒤로 그리고 아래쪽으로 뽑아 팔꿈치를 몸에 가까이 두십시오.
4. 시작 위치로 돌아갈 때 숨을 내쉬십시오."
Incline Push Up,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Chest/Incline-Push-Up,Chest,https://www.musclewiki.com/media/uploads/male-bodyweight-incline-pushup-front.gif,https://youtu.be/NGI2BZGnUuA,"1. 벤치를 향하거나 튼튼한 고가 플랫폼을 직면하십시오.
2. 어깨 너비보다 약간 더 넓은 벤치 또는 플랫폼의 가장자리에 손을 넣습니다.
3. 가슴이 벤치에 거의 닿을 때까지 천천히 몸을 내립니다.
4. 팔이 연장 될 때까지 몸을 위로 밀어 넣습니다."
