exercise,equipment,difficulty,link,img_link,video_link,step
Deadlift,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Lowerback/Deadlift,https://www.musclewiki.com/media/uploads/male-barbell-deadlift-front.gif,https://youtu.be/QD-i3yUJcDQ,"1. Stand with your mid-foot under the bar and grip the bar with your hands, about a shoulder width apart.
2. Bend your knees, then lift the bar by straightening your back. It is important to keep your back straight.
3. Stand to your full height and hold.
4. Lower the bar to the floor by bending your knees and keeping your back straight.
"
45 Degree Back Extension,Machine,Intermediate,https://musclewiki.com/Machine/Male/Lowerback/45-Degree-Back-Extension,https://www.musclewiki.com/media/uploads/45DegreeBackExtension-Front-021316.gif,https://www.youtube.com/watch?v=jf5cSyEu1Vk,"1. Position your thighs on the padding and hook your feet on the platform supports.
2. Keeping your back straight, slowly bend at your waist until your legs and back are at a 45° angle.
3. Slowly raise your body to the starting position.
"
Kettlebell Swing,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Hamstrings/Kettlebell-Swing,https://www.musclewiki.com/media/uploads/kettlebell-male-kb-swing-front.gif,https://youtu.be/VdgDAbEnNLg,"1. Stand with your feet slightly wider than shoulder width apart holding the kettlebell between your legs, with your knees slightly bent.
2. Keeping your back straight, swing the kettlebell upwards until the kettlebell is level with your chest and carefully lower.
3. Repeat
"
Cable Romanian Deadlift,Cables,Intermediate,https://musclewiki.com/Cables/Male/Hamstrings/Cable-Romanian-Deadlift,https://www.musclewiki.com/media/uploads/cable-male-rdl-side.gif,https://youtu.be/tvpB7UAuIsQ,"1. Start with a straight bar or ez bar attachment set to the bottom of the machine. Squat the weight up into a standing position and walk a few steps back
2. Push your butt back to initiate the movement and then push your butt forward until you're back in a standing position.
3. To protect yourself from injury, always maintain a flat back on any exercise.
"
Single Leg Deadlift,Cables,Advanced,https://musclewiki.com/Cables/Male/Hamstrings/Single-Leg-Deadlift,https://www.musclewiki.com/media/uploads/cable-male-slrdl-side.gif,https://youtu.be/o5mZqPf4ui4,"1. Start with a straight bar or easy bar attachment. Squat the weight up into a standing position and walk a few steps back.
2. Push your butt back to initiate the movement while lifting one of your legs.
3. Then push your butt forward until you're back in a standing position.
4. Compete your given amount of reps, then switch to opposite leg.
5. To protect yourself from injury, always maintain a flat back.
"
Romanian Deadlift,Band,Intermediate,https://musclewiki.com/Band/Male/Hamstrings/Romanian-Deadlift,https://www.musclewiki.com/media/uploads/band-male-rdl-front.gif,https://youtu.be/3_4lEB8nKyA,
Dumbbell Row Bilateral,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Lats/Dumbbell-Row-Bilateral,https://www.musclewiki.com/media/uploads/male-dumbbell-bilateral-row-front.gif,https://youtu.be/dQDlg5-monc,"1. Grab both dumbbells and hinge forward at the hips. Make sure you keep a flat back.
2. The closer your torso is to parallel with the ground the longer the range of motion will be at your shoulder. The better the results you'll get from the exercise.
3. Let your arms hang freely, and then pull your elbow joint straight back toward the ceiling.
"
Dumbbell Goblet Good Morning,Dumbbells,Advanced,https://musclewiki.com/Dumbbells/Male/Hamstrings/Dumbbell-Goblet-Good-Morning,https://www.musclewiki.com/media/uploads/male-dumbbell-goblet-good-morning-front.gif,https://youtu.be/bYSV8hDuTUs,"1. Hold the dumbbell in a goblet position. With your elbows directly under your fists.
2. Push your hips back while leaving your knees MOSTLY extended. You should feel a stretch in your hamstrings.
3. When you feel the stretch push your hips forward until you're back in a standing position.
"
DB Romanian Deadlift,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Hamstrings/DB-Romanian-Deadlift,https://www.musclewiki.com/media/uploads/male-dumbbell-romanian-deadlift-front.gif,https://youtu.be/N2rh2wo0nGE,"1. Stand with a shoulder width stance. Push your butt back while leaving your knees MOSTLY extended.
2. You should feel a stretch in your hamstrings. When you feel the stretch, push your hips forward to complete the rep.
3. Do not push your hips all the way forward. This will hyperextend your spine. Just go to a normal standing position.
"
High Bar Good Morning,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Hamstrings/High-Bar-Good-Morning,https://www.musclewiki.com/media/uploads/male-bb-side-highbargm_Yth0qDn.gif,https://youtu.be/-9B8ye0mjho,"1. Place the bar on your traps. You may need a pad so the bar doesn't dig into your cervical spine.
2. Push your hips straight back. Your knees should stay MOSTLY extended (think soft knees). Also make sure to
3. Look for what feels like a stretch in your hamstrings. The stretch feeling means you're likely nearing the end of your Range of Motion without rounding your spine.
4. When you feel the stretch push your hips forward until you're in a standing position.
"
Low Bar Good Morning,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Hamstrings/Low-Bar-Good-Morning,https://www.musclewiki.com/media/uploads/male-bb-front-lowbargm_XaLHLgM.gif,https://youtu.be/P_KnGXBnh9U,"1. Place the bar between your traps and rear delts. Pull your shoulder blades back to give the bar a shelf to sit on.
2. Push your hips back until you feel a stretch in your hamstrings. This means you're nearing the end of your Range of Motion with out rounding your spine.
3. When you feel the stretch push your hips forward until you'e in a standing position.
"
Barbell Sumo Deadlift,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Quads/Barbell-Sumo-Deadlift,https://www.musclewiki.com/media/uploads/male-barbell-sumo-deadlift-front_aeM2BqT.gif,https://youtu.be/6vBHlIcyeoI,"1. Stance width can vary with a sumo DL. Some prefer toes near the plates. Others prefer a more narrow stance to get more drive off the floor.
2. Make sure your arms are inside your legs. The bar should be just over your mid-foot. Flatten your back and push your heels into the floor.
3. Try to extend your knees and hips simultaneously.
"
Barbell Staggered Deadlift,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Hamstrings/Barbell-Staggered-Deadlift,https://www.musclewiki.com/media/uploads/male-bb-front-staggereddl_ssnaFtA.gif,https://youtu.be/y8AU_ZLL7So,"1. Place one foot behind. You should only be on your toes on that back foot. Your front foot should be planted flat the entire time.
2. Bend your back knee and push your hips back. Look for a stretch in your front hamstring.
3. When you feel the stretch, push your hips forward again until you're back in a standing position.
"
Barbell Single Leg Deadlift,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Hamstrings/Barbell-Single-Leg-Deadlift,https://www.musclewiki.com/media/uploads/male-bb-side-sldl_zqM9In1.gif,https://youtu.be/odTpm7w_698,"1. Start by pushing your hips straight back and extending your non-working leg behind you. It is ok to touch your other foot back to the ground each rep.
2. Leave your knee mostly extended. Look for a stretch in your hamstring. When you feel the stretch, push your hips forward until you're back in a standing position.
"
Barbell Romanian Deadlift,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Hamstrings/Barbell-Romanian-Deadlift,https://www.musclewiki.com/media/uploads/male-bb-front-rdl_Rg5paRL.gif,https://youtu.be/v7Dc3lcct3M,"1. Take a shoulder width, double overhand or mixed grip.
2. Push your hips back while leaving your knees mostly extended. Look for a stretch in your hamstrings.
3. When you feel the stretch, push your hips forward until you're back in a standing position.
"
