exercise,equipment,difficulty,link,img_link,video_link,step
Cable Push Downs,Machine,Beginner,https://musclewiki.com/Machine/Male/Triceps/Cable-Push-Downs,https://www.musclewiki.com/media/uploads/male-cable-pulldowns-front.gif,https://www.youtube.com/watch?v=tEOhbUBIBwE%7C,"1. 손바닥이 어깨 너비에서 아래로 향하게하여 풀리 바를 잡습니다.
2. 작은 전진 경사로 똑바로 서십시오.상단 팔을 몸에 가까이두고 팔리가 완전히 연장 될 때까지 풀리 바를 천천히 가져옵니다.
3. 운동의 계약 위치에있을 때 일시 중지 한 다음 풀리 바를 시작점으로 천천히 올립니다."
Bench Dips,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Triceps/Bench-Dips,https://www.musclewiki.com/media/uploads/male-bench-tricep-dip-front.gif,https://www.youtube.com/watch?v=Z2c02dbshBA%7C,"1. 손으로 벤치의 가장자리를 잡고 발과 다리를 똑바로 유지하십시오.
2. 몸을 똑바로 내립니다.
3. 시작점까지 천천히 뒤로 누르십시오.
4. 팁 : 발을 바닥에서 내리고 체중을 더함으로써 더 어려워집니다."
Standing Tricep Extension,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Triceps/Standing-Tricep-Extension,https://www.musclewiki.com/media/uploads/kettlebell-male-tricepextension-front.gif,https://youtu.be/FDIB9zJjcjE,"1. 다리가 어깨 너비를 구분하여 서십시오.
2. Kettlebell을 머리 뒤로 양손으로 잡습니다.
3. Kettlebell을 머리 위로 가져 오는 팔을 곧게 펴십시오.
4. 시작 위치로 돌아가서 반복하십시오."
Triceps Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Triceps/Triceps-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-10-front.gif,https://youtu.be/50698xNT9uM,"1. 손이 어깨에 닿도록 왼쪽 팔을 구부리고 반대편 손으로 팔꿈치를 잡습니다.
2. 팔꿈치를 부드럽게 밀어 머리로 올라갑니다.
3. 스트레치를 몇 초 동안 잡고 다른 팔로 반복하십시오."
Triceps Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Triceps/Triceps-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-12-front.gif,https://youtu.be/GM7rO1GgGr0,"1. 밴드가 척추와 일치하도록 밴드를 잡으십시오.오른손과 왼쪽으로 맨 위를 잡으십시오.
2. 상단을 스틸로 유지하고 밴드를 아래로 당기십시오.
3. 스트레치를 몇 초 동안 잡고 다른 팔로 반복하십시오."
Triceps Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Triceps/Triceps-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-9-front_BDXFiGR.gif,https://youtu.be/UFCLH__899A,"1. 반대 손을 사용하여 팔꿈치에 압력을 부드럽게 바릅니다.
2. 스트레치를 몇 초 동안 잡고 다른 팔로 반복하십시오.
3. 머리 위로 왼쪽 팔을 들어 올리고 팔꿈치를 구부려 손이 등의 꼭대기에 놓여 있습니다."
Push Up,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Chest/Push-Up,https://www.musclewiki.com/media/uploads/bodyweight-male-pushup-side_eeaJGyM.gif,https://youtu.be/FA5KifI5IyU,"1. 손을 어깨 바로 아래 바닥에 단단히 놓으십시오.
2. 몸 전체가 똑바로 몸을 낮추도록 등을 평평하게하십시오.
3. 어깨 뼈를 뒤로 그리고 아래쪽으로 뽑아 팔꿈치를 몸에 가까이 두십시오.
4. 시작 위치로 돌아갈 때 숨을 내쉬십시오."
Bodyweight Chest Dips,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Chest/Bodyweight-Chest-Dips,https://www.musclewiki.com/media/uploads/male-bodyweight-bench-chest-dips-side.gif,https://www.youtube.com/watch?v=AsK5U_vJ5eQ%7C,"1. 손으로 벤치의 가장자리를 잡고 발과 다리를 똑바로 유지하십시오.
2. 몸을 똑바로 내립니다.
3. 시작점까지 천천히 뒤로 누르십시오.
4. 팁 : 발을 바닥에서 내리고 체중을 더함으로써 더 어려워집니다."
Diamond Push Ups,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Chest/Diamond-Push-Ups,https://www.musclewiki.com/media/uploads/bodyweight-male-diamondpushup-front.gif,https://youtu.be/NGI2BZGnUuA,"1. 인덱스 손가락과 엄지 손가락을 만져 다이아몬드 모양을 형성합니다.
2. 표준 푸시 업 위치를 사용하십시오
3. 가슴을 손으로 내리고 팔꿈치를 몸에 가깝게 유지하십시오.
4. 가슴이 바닥에 닿기 직전에 멈춘 다음 시작 위치로 뒤로 밀어냅니다."
Cable Pushdown,Cables,Beginner,https://musclewiki.com/Cables/Male/Triceps/Cable-Pushdown,https://www.musclewiki.com/media/uploads/cable-male-pushdown-front.gif,https://youtu.be/nN9RyjlSm0A,"1.이를 위해 첨부 파일을 사용할 수 있습니다.케이블은 기계 상단에 완전히 설정해야합니다.
2. 상단 팔을 옆에 붙이십시오.삼두근 계약을 느낄 때까지 팔꿈치를 연장하십시오."
Pushdown,Band,Beginner,https://musclewiki.com/Band/Male/Triceps/Pushdown,https://www.musclewiki.com/media/uploads/band-male-pushdown-front.gif,https://youtu.be/8lGePM05YTk,"1. 밴드를 시선 바로 위에 놓습니다.밴드가 팽팽해질 때까지 몇 걸음 떨어져 있습니다.
2. 엉덩이를 약간 뒤로 밀어 넣으십시오.팔꿈치를 연장하고 구부립니다."
Band Pushup,Band,Beginner,https://musclewiki.com/Band/Male/Chest/Band-Pushup,https://www.musclewiki.com/media/uploads/band-male-pushup-side.gif,https://youtu.be/3z4t_VQL-hs,"1. 미드 백 주위에 밴드를 반복하십시오.밴드의 끝은 엄지 손가락과 포인터 손가락 사이의 손 주위에 있어야합니다.
2.이 운동은 경험 수준에 따라 무릎이나 발가락에서 수행 할 수 있습니다.
3. 팔꿈치를 부러지면서 팔꿈치가 옆에있을 때까지 시작하십시오.그런 다음 팔꿈치를 다시 상단 위치로 뻗어 있습니다."
