exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Dumbbell Wrist Curl,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Forearms/Dumbbell-Wrist-Curl,Forearms,https://www.musclewiki.com/media/uploads/male-dumbbell-wrist-curl-front.gif,https://youtu.be/yrSe6GI16DU,"1. 손바닥이 팔뚝을 위로 향하게하여 아령을 잡고 팔뚝을 벤치에 대고 놓았습니다.
2. 반원형 움직임으로 손목을 천천히 위로 굽습니다.
3. 시작 위치로 돌아가서 반복합니다."
Barbell Wrist Curl,Barbell,Beginner,https://musclewiki.com/Barbell/Male/Forearms/Barbell-Wrist-Curl,Forearms,https://www.musclewiki.com/media/uploads/barbell-wristcurl-male-front.gif,https://youtu.be/si9MtuEcCc4,"1. (아래쪽) 그립이있는 직선 막대를 잡습니다.
2. 평평한 벤치 옆에 무릎을 꿇고 손목을 벤치 바로에서 벗어난 상태에서 팔뚝을 벤치에 놓습니다.
3. 바벨이 연장 될 때까지 손목을 잡아 당기도록하십시오.
4. 손목이 완전히 구부러 질 때까지 바벨을 말리십시오.
5. 통제 된 방식으로 낮추고 반복합니다."
Farmers Carry,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Forearms/Farmers-Carry,Forearms,https://www.musclewiki.com/media/uploads/male-kettlebell-farmers-carry-front.gif,https://youtu.be/w3GqfqD4Sb4,"1. 한 손에 케틀벨을 똑바로 서서 한쪽 다리의 무릎을 바닥에서 무릎 높이로 들어 올립니다.
2. 다리를 다시 서서 다른 다리로 반복하여 케틀벨을 같은쪽에 두십시오.
3. 반복하십시오."
Kettlebell Wrist Extension,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Forearms/Kettlebell-Wrist-Extension,Forearms,https://www.musclewiki.com/media/uploads/kettlebell-male-wrist-extension-front.gif,https://youtu.be/eMv3q7r9n9A,"1. 골반 앞에 양손으로 케틀벨을 똑바로 세우고 팔뚝이 안쪽으로 향하게됩니다.
2. 손목이 완전히 연장 될 때까지 손목을 위로 구부립니다.
3. 시작 위치로 낮추고 반복합니다."
Kettlebell Wrist Curl,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Forearms/Kettlebell-Wrist-Curl,Forearms,https://www.musclewiki.com/media/uploads/male-kettlebell-wrist-curl-front.gif,https://youtu.be/kU3wyBBi-BY,"1. 골반 앞에 양손으로 케틀벨을 똑바로 세우고 팔뚝이 바깥 쪽을 향하고 있습니다.
2. 케틀벨이 위장과 함께 수평이 될 때까지 손목을 몸으로 구부립니다.
3. 시작 위치로 낮추고 반복합니다."
Forearms Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Forearms/Forearms-Stretch-Variation-Four,Forearms,https://www.musclewiki.com/media/uploads/male-forearms-stretch-variation-4-front.gif,https://youtu.be/UZ5zLixqLw0,"1. 몸의 90도에서 팔을 어깨 높이로 높이십시오.
2. 손을 가볍게 누르고 당신을 향해 밀어 넣으십시오.
3. 팔을 몸 전체에 돌리십시오.
4. 측면을 전환하고 반복하십시오."
Forearms Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Forearms/Forearms-Stretch-Variation-Three,Forearms,https://www.musclewiki.com/media/uploads/male-forearms-stretch-variation-3-front.gif,https://youtu.be/_hTBeb5f4eI,"1. 손을 함께 놓으십시오.
2. 팔과 손을 180도 회전시킵니다.
3. 스트레치의 절정에 붙잡 으십시오.
4. 시작 위치로 돌아갑니다."
Forearms Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Forearms/Forearms-Stretch-Variation-Two,Forearms,https://www.musclewiki.com/media/uploads/male-forearms-stretch-variation-2-front.gif,https://youtu.be/_qFHL-DoHG8,"1. 손을 벽에 대고 손바닥을 위쪽으로 향하게하고 손가락 끝이 만집니다.
2. 스트레치의 절정에 붙잡 으십시오.
3. 시작 위치로 돌아갑니다.
4. 손바닥에 천천히 기대어."
Forearms Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Forearms/Forearms-Stretch-Variation-One,Forearms,https://www.musclewiki.com/media/uploads/male-forearms-stretch-variation-1-front.gif,https://youtu.be/KPMttUk2xM8,"1. 손바닥을 벽에 씻으십시오.
2. 한 걸음 앞으로 나아가 팔을 천천히 똑바로 세우십시오.
3. 스트레치의 절정에 붙잡 으십시오.
4. 시작 위치로 돌아갑니다."
Inverted Row,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Lats/Inverted-Row,Forearms,https://www.musclewiki.com/media/uploads/male-bodyweight-reverse-row-front.gif,https://youtu.be/EuT4-4OFySE,"1. 고정 수평 막대 아래에 놓고 넓은 오버 핸드 그립으로 막대를 잡습니다.
2. 몸을 바로 똑바로 당기십시오.
3. 시작 위치로 돌아 가면 팔이 완전히 연장되었습니다.반복하다."
Dumbbell Row Unilateral,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Lats/Dumbbell-Row-Unilateral,Forearms,https://www.musclewiki.com/media/uploads/male-dumbbell-row-unilateral-front.gif,https://youtu.be/P8lNvP8SsQk,"1. 안정적인 물건에 대해 팔을 바르십시오 (벤치, 상자).작업 팔 옆의 다리가 돌아 오도록 자세를 비틀 거리십시오.
2. 몸통을 땅과 평행하게하십시오.그것은 당신의 움직임 범위를 확장 할 것입니다.
3. 팔을 자유롭게 매달린 다음 팔꿈치를 뒤로 당기십시오.겨드랑이에 테니스 공이 있다고 상상해보십시오."
Dumbbell Wrist Extension,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Forearms/Dumbbell-Wrist-Extension,Forearms,https://www.musclewiki.com/media/uploads/male-dumbbell-wrist-extension-front.gif,https://youtu.be/P_mg86Vvgsg,"1. 오버 핸드 그립으로 두 개의 아령을 잡고 팔뚝을 무릎에 눕히십시오.
2. 손목을 완전히 구부리게 한 다음 손목을 뻗어보십시오."
