exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Incline Dumbbell Bench Press,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Chest/Incline-Dumbbell-Bench-Press,Chest,https://www.musclewiki.com/media/uploads/male-dumbbell-incline-bench-press-front.gif,https://www.youtube.com/watch?v=rsTKuMPoGbc%7C,"1. Raise the bench to a 30 - 45 degree angle
2. Lay on the bench and set your feet on the ground.
3. Raise the dumbbells with straight arms then slowly lower them to about shoulder width.
4. Raise them again until your arms are locked and at the starting position again."
Dumbbell Incline Chest Flys,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Chest/Dumbbell-Incline-Chest-Flys,Chest,https://www.musclewiki.com/media/uploads/male-dumbbell-incline-chest-flys-front.gif,https://www.youtube.com/watch?v=kfTgKkZJnIQ%7C,"1. Lay flat on the bench and place your feet on the ground.
2. Begin the exercise with the dumbbells held together above your chest, elbows slightly bent.
3. Simultaneously lower the weights to either side.
4. Pause when the weights are parallel to the bench, then raise your arms to the starting position."
Dumbbell Bench Press,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Chest/Dumbbell-Bench-Press,Chest,https://www.musclewiki.com/media/uploads/male-dumbbell-bench-press-front_hHiClQx.gif,https://youtu.be/VQo4v9zZBlo,"1. Lay flat on the bench with your feet on the ground. Raise the dumbbells until you have straight arms.
2. Lower the dumbbells to your mid chest
3. Raise the dumbbells until you've locked your elbows."
Kettlebell Chest Press,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Chest/Kettlebell-Chest-Press,Chest,https://www.musclewiki.com/media/uploads/male-kettlebell-chest-press-front.gif,https://youtu.be/15CIJwGNVjU,"1. Laying on the floor with your knees bent and feet firmly on the floor, hold the kettlebell at your chest with both hands.
2. Fully extend your arms, raising the kettlebell until your elbows are locked.
3. Lower the kettlebell to the starting position and repeat."
Single Arm Chest Fly,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Chest/Single-Arm-Chest-Fly,Chest,https://www.musclewiki.com/media/uploads/male-kettlebell-single-arm-chest-fly-front.gif,https://youtu.be/bmEIpJjogLg,"1. Lie on the floor with your knees bent and feet firmly on the floor, with your arms to the side of your body.
2. Holding a kettlebell in one hand, keeping your arm fully extended with a slight bend in the elbow and your forearms facing upwards, lift the kettlebell above your chest.
3. Lower the kettlebell to the starting position and repeat."
Single Arm Press,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Chest/Single-Arm-Press,Chest,https://www.musclewiki.com/media/uploads/male-kettlebell-single-arm-chest-press-front.gif,https://youtu.be/OaqpmVrrz8E,"1. Laying on the floor with your knees bent and feet firmly on the floor, leave one arm resting to the side of the body.
2. Using the other arm, hold the kettlebell at arms length directly upwards of your shoulder.
3. Lower your arm until your upper arm to elbow is resting on the floor.
4. Return to starting position."
Chest Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Chest/Chest-Stretch-Variation-Four,Chest,https://www.musclewiki.com/media/uploads/male-chest-stretch-variation-4-front.gif,https://youtu.be/BnhIRqwh_w8,"1. Raise your arms to shoulder height, fully extended in front of you.
2. Slowly bring your arms behind your back still at shoulder height.
3. Pause for a few seconds and then return to starting position."
Chest Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Chest/Chest-Stretch-Variation-Three,Chest,https://www.musclewiki.com/media/uploads/male-chest-stretch-variation-3-front.gif,https://youtu.be/-8o988Co9t0,"1. Place your arms behind your back and clasp your hands together.
2. Slowly extend your elbows until they are locked then lift them away from you.
3. Pause in this position for a few seconds and then return them to starting position."
Chest Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Chest/Chest-Stretch-Variation-Two,Chest,https://www.musclewiki.com/media/uploads/male-chest-stretch-variation-2-front.gif,https://youtu.be/PqLQe9NCYo0,"1. Lay on your side with one hand just in front of you.
2. With a slight bend in your arm, rotate your arm around your body as slowly as possible.
3. Return to the starting position and then repeat on the other side."
Chest Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Chest/Chest-Stretch-Variation-One,Chest,https://www.musclewiki.com/media/uploads/male-chest-stretch-variation-1-front.gif,https://youtu.be/0eeCfNjTt4M,"1. Using a raised wall, place your arm at a 90 degree angle against it.
2. With a staggered stance, lean into the wall extending your chest.
3. Pause for a few seconds and then return to starting position and repeat on opposite side."
