exercise,equipment,difficulty,link,img_link,video_link,step
Bent Over Rear Delt Fly,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Shoulders/Bent-Over-Rear-Delt-Fly,https://www.musclewiki.com/media/uploads/male-dumbbell-rear-delt-fly-front.gif,https://youtu.be/NF0ihhXl-9k,"1. 양손으로 아령으로 발이 약간 절을하면서 무릎을 구부리십시오.무릎 위로 등을 아치고 가슴 앞에서 닿는 무게로 시작하십시오.
2. 구부러진 팔꿈치로 팔을 어깨 수준까지 올려 모션 끝에서 일시 중지하십시오.
3. 팔을 다시 시작 위치로 천천히 아래로 내립니다."
Face Pulls,Machine,Intermediate,https://musclewiki.com/Machine/Male/Shoulders/Face-Pulls,https://www.musclewiki.com/media/uploads/male-cable-face-pull-front.gif,https://www.youtube.com/watch?v=VNuQNxV-isQ%7C,"1. 풀리를 향한 후 팔을 땅과 평행하게 유지하면서 몸무게를 잡아 당깁니다.
2. 손을 머리의 양쪽으로 뒤로 당기고 위치를 잡습니다.
3. 체중을 시작 위치로 천천히 되돌립니다.반복하다."
Seated Bent Over Rear Delt Fly,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Shoulders/Seated-Bent-Over-Rear-Delt-Fly,https://www.musclewiki.com/media/uploads/male-dumbbell-rear-delt-seated-fly-front.gif,https://youtu.be/GA0ngGb-kL8,"1. 양손으로 아령으로 발이 약간 절을하면서 무릎을 구부리십시오.무릎 위로 등을 아치고 가슴 앞에서 닿는 무게로 시작하십시오.
2. 구부러진 팔꿈치로 팔을 어깨 수준까지 올려 모션 끝에서 일시 중지하십시오.
3. 팔을 다시 시작 위치로 천천히 아래로 내립니다."
Single Arm Rear Delt Fly,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Shoulders/Single-Arm-Rear-Delt-Fly,https://www.musclewiki.com/media/uploads/kettlebell-male-sareardeltfly-front.gif,https://youtu.be/tnlr_-FLqsQ,"1. 발을 어깨 너비와 함께 허벅지 앞쪽에 양손으로 잡고있는 것입니다.
2. 엉덩이를 앞으로 구부려 케틀벨을 바닥으로 가져 오는 동안 무릎을 약간 구부리고 등을 똑바로 유지하십시오.
3. 한 팔을 당신의 뒤에 가져 와서이 팔을 등에 놓으십시오.다른 팔을 사용하면 주전자를 팔 길이로 바닥에 가까이 두십시오.
4. 케틀벨을 몸 옆으로 향한 다음 중앙으로 돌아갑니다.반복하다."
Long Lever Lateral Raise,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Shoulders/Long-Lever-Lateral-Raise,https://www.musclewiki.com/media/uploads/kettlebell-male-longleverlateralraise-side.gif,https://youtu.be/tvXHl4aWftk,"1. 한 손으로 케틀벨을 잡고 발
2. 팔을 똑바로 세우고, 케틀벨을 몸에서 머리 높이 주위로, 케틀벨을 단단히 붙잡고 손의 위치를 바꾸지 않도록합니다.
3. 시작 위치로 돌아가서 반복하십시오."
Elevated Pike Press,Bodyweight,Intermediate,https://musclewiki.com/Bodyweight/Male/Traps/Elevated-Pike-Press,https://www.musclewiki.com/media/uploads/bodyweight-male-pikepushup-front.gif,https://youtu.be/xxWbfDg9oS0,"1. 벤치 나 물체를 사용하여 발을 높이십시오.
2. 팔꿈치를 구부려 머리를 바닥쪽으로 내립니다.
3. 손을 뚫고 시작 파이크 위치로 돌아갑니다.
4. 반복하십시오"
Rear Delt Fly,Cables,Intermediate,https://musclewiki.com/Cables/Male/Shoulders/Rear-Delt-Fly,https://www.musclewiki.com/media/uploads/cable-male-reardeltfly-side.gif,https://youtu.be/LWVCBHdzia4,"1. 손잡이 부착물을 사용하거나 첨부 파일이 전혀 사용되지 않습니다.케이블은 상단으로 설정해야합니다.
2. 작업 팔의 반대쪽에서 케이블이 나오고 몇 걸음 걸어갑니다.
3. 거기에서, 어깨는 수평으로 납치되고 부가되었으며 팔꿈치는 고정 된 위치에 머물러 있어야합니다."
Upright Row,Cables,Advanced,https://musclewiki.com/Cables/Male/Traps/Upright-Row,https://www.musclewiki.com/media/uploads/cable-male-uprightrow-side.gif,https://youtu.be/Wp9xxnBJ8cE,"1. 케이블을 기계의 바닥에 세우면 핸들 부착물을 사용하십시오.
2. 팔꿈치가 턱 바로 아래에있을 때까지 팔꿈치를 천장쪽으로 똑바로 당기고 팔꿈치가 완전히 확장 될 때까지 연장됩니다."
Face Pull,Band,Intermediate,https://musclewiki.com/Band/Male/Shoulders/Face-Pull,https://www.musclewiki.com/media/uploads/band-male-facepull-side.gif,https://youtu.be/_CW-k8OjHL0,"1. 밴드를 눈 수준에서 고정시킵니다.밴드가 팽팽해질 때까지 몇 걸음 떨어져 있습니다.
2. 양손으로 오버 핸드 그립을 사용하십시오.밴드를 코의 다리로 당겨 팔꿈치를 타십시오."
Horizontal Shrug,Band,Advanced,https://musclewiki.com/Band/Male/Traps/Horizontal-Shrug,https://www.musclewiki.com/media/uploads/band-male-horizontalshrug-side.gif,https://youtu.be/sorhurNQHKY,"1. 어깨 높이에서 밴드를 고정시킵니다.밴드가 팽팽해질 때까지 몇 걸음 떨어져 있습니다.
2. 학교에서 어깨 날을 똑바로 되돌리십시오.그런 다음 시작 위치로 돌출됩니다."
Lateral Raise,Band,Intermediate,https://musclewiki.com/Band/Male/Shoulders/Lateral-Raise,https://www.musclewiki.com/media/uploads/band-male-lateralraise-front2.gif,https://youtu.be/M5HZ3RtykCg,"1. 밴드를 어깨 너비로 잡습니다.팔을 옆으로 똑바로 들어 올리십시오.
2. 밴드는 셔츠에 긁어 야합니다."
Single Arm Overhead Press,Band,Intermediate,https://musclewiki.com/Band/Male/Traps/Single-Arm-Overhead-Press,https://www.musclewiki.com/media/uploads/band-male-saohp-front.gif,https://youtu.be/9tR_KiX5h9E,"1. 발 아래 밴드를 반복하십시오.침대의 다른 쪽 끝은 엄지 손가락과 포인터 손가락 사이에 손에 달려 있어야합니다.
2. 밴드를 천장쪽으로 똑바로 누릅니다.팔꿈치가 완전히 확장 될 때까지."
Barbell Front Raise,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Shoulders/Barbell-Front-Raise,https://www.musclewiki.com/media/uploads/male-barbell-front-raise-side_tbJG13x.gif,https://youtu.be/fu7KGiYU5uA,"1. 바벨에 오버 핸드 그립으로 키가 크게 서십시오.주먹이 시선 주위에있을 때까지 팔을 들어 올리십시오.
2. 통제중인 시작으로 돌아갑니다.이 운동은 피로를 시작할 때 운동량을 사용하기 쉽습니다."
