exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Glute Bridge,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Glutes/Glute-Bridge,Glutes,https://www.musclewiki.com/media/uploads/male-bodyweight-glute-bridge-front.gif,https://youtu.be/QpcZ35uB_08,"1. 무릎이 구부러지고 발이 바닥에 평평하게 눕습니다.
2. 엉덩이를 밀어서 엉덩이가 높아지고 등을 똑바로 펴십시오.
3. 둔부를 긴장시키고 엉덩이를 천장쪽으로 올리십시오.
4. 관리 할 수있는 가장 높은 지점에 있으면 몇 초 동안 위치를 유지 한 다음 천천히 시작 위치로 돌아갑니다."
Single Leg Glute Bridge,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Glutes/Single-Leg-Glute-Bridge,Glutes,https://www.musclewiki.com/media/uploads/male-bodyweight-single-leg-glute-bridge-front.gif,https://youtu.be/jCzP6C-qKYo,"1. 하나의 무릎 구부러지고 약간 구부러진 곳으로 누워 있습니다.
2. 엉덩이를 밀어서 엉덩이가 높아지고 등을 똑바로 펴십시오.
3. 둔부를 긴장시키고 엉덩이를 천장쪽으로 올리십시오.
4. 관리 할 수있는 가장 높은 지점에 있으면 몇 초 동안 위치를 유지 한 다음 천천히 시작 위치로 돌아갑니다."
Kettlebell Glute Bridge,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Glutes/Kettlebell-Glute-Bridge,Glutes,https://www.musclewiki.com/media/uploads/male-kettlebell-glute-bridge-front.gif,https://youtu.be/fWU_4ysp0Y8,"1. 무릎이 구부러지고 발이 바닥에 단단히 바닥에 놓고 골반에 케틀벨을 놓으십시오.
2. 다리를 밀고 핵심 근육을 유지하고 위, 골반 및 허벅지가 직선을 만들 때까지 골반을 바닥에서 올리십시오.
3.지면으로 천천히 아래쪽으로 시작하여 반복합니다."
Hip Thrust,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Glutes/Hip-Thrust,Glutes,https://www.musclewiki.com/media/uploads/male-kettlebell-hip-thrust-front.gif,https://youtu.be/f3KqAL-Q9Qw,"1. 무릎이 구부러지고 발이 바닥에 단단히 심고 벤치에 등을 대고 바닥에 앉아 있습니다.
2. 골반에 케틀벨을 쉬고 위, 골반 및 허벅지가 줄을 서서 골반을 들어 올리십시오.
3. 시작 위치에 있고 반복 될 때까지 천천히 낮추십시오."
Glutes Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Glutes/Glutes-Stretch-Variation-Three,Glutes,https://www.musclewiki.com/media/uploads/male-glutes-stretch-variation-3-front.gif,https://youtu.be/10px3OnzfqU,"1. 평평하게 놓고 왼쪽 다리를 90 도로 가져옵니다.
2. 양손으로 왼쪽 다리를 잡고 엉덩이를 오른쪽으로 천천히 돌리십시오.
3. 스트레치의 절정에 잡고 천천히 시작 위치로 돌아갑니다.
4. 측면을 전환하고 반복하십시오."
Glutes Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Glutes/Glutes-Stretch-Variation-Two,Glutes,https://www.musclewiki.com/media/uploads/male-glutes-stretch-variation-2-front.gif,https://youtu.be/gr1NjzfIbNk,"1. 땅에 앉아서 한쪽 다리를 평평하고 다른 쪽을 상단 위에 놓습니다.
2. 같은 측면 팔로 다리를 잡고 엉덩이를 천천히 돌리십시오.
3. 스트레치의 절정에 잡고 천천히 시작 위치로 돌아갑니다.
4. 측면을 전환하고 반복하십시오."
Glutes Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Glutes/Glutes-Stretch-Variation-One,Glutes,https://www.musclewiki.com/media/uploads/male-glutes-stretch-variation-1-front.gif,https://youtu.be/2th-SvkjF6A,"1. 앞면에 한쪽 다리를 앞쪽으로 놓은 다음 매트/바닥을 가로 질러 같은 측면 팔을 펴십시오.
2. 다리와 팔을 완전히 확장하십시오.
3. 스트레치의 절정에 잡고 천천히 시작 위치로 돌아갑니다.
4. 측면을 전환하고 반복하십시오."
Side Lunges,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Quads/Side-Lunges,Glutes,https://www.musclewiki.com/media/uploads/male-bodyweight-side-lunge-front.gif,https://youtu.be/m5y8RANJwiE,"1. 오른쪽으로 천천히 측면 단계를 밟습니다.
2. 왼쪽 무릎을 뻗고 체중을 오른쪽으로 유도하십시오.
3. 무릎을 구부리고 몸을 내립니다.
4. 시작 위치로 다시 밀어 넣습니다."
Forward Lunges,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Quads/Forward-Lunges,Glutes,https://www.musclewiki.com/media/uploads/male-bodyweight-forward-lunge-front.gif,https://youtu.be/hRyH9tVwMjU,"1. 한쪽 다리로 앞으로 나아갑니다.
2. 뒤쪽 무릎이 땅에 거의 닿을 때까지 몸을 내립니다.
3. 똑바로 세우고 앞발 앞발 위에 앞발을 유지하십시오.
4. 시작 위치로 돌아올 때까지 앞발로 바닥에서 밀어 넣습니다.스위치 다리."
Jump Squats,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Quads/Jump-Squats,Glutes,https://www.musclewiki.com/media/uploads/male-bodyweight-jump-squat-front.gif,https://youtu.be/vE320InfPN8,"1. 발을 어깨 너비로 구분하여 서십시오.
2. 정기적 인 스쿼트를 시작한 다음 코어를 참여시키고 폭발적으로 점프하십시오.
3. 착륙 할 때 몸을 쪼그리고 앉는 자세로 다시 내립니다."
