exercise,equipment,difficulty,link,img_link,video_link,step
Standing Calf Raises,Machine,Beginner,https://musclewiki.com/Machine/Male/Calves/Standing-Calf-Raises,https://www.musclewiki.com/media/uploads/StandingCalfRaises-Front-021316.gif,https://www.youtube.com/watch?v=UOVRxVYExss%7C,"1. 높이에 따라 기계를 조정하고 어깨를 패딩 레버 아래에 놓습니다.
2. 발의 공은 분만 블록에서 무게를지지해야합니다.
3. 무릎을 고정 상태로 유지하면서 발 뒤꿈치를 위로 뻗고 계약 된 위치에서 일시 중지하십시오.
4. 천천히 시작 위치로 돌아갑니다.반복하다."
Seated Calf Raises,Machine,Beginner,https://musclewiki.com/Machine/Male/Calves/Seated-Calf-Raises,https://www.musclewiki.com/media/uploads/SeatedCalfRaises-Front-021316.gif,https://www.youtube.com/watch?v=IdzC0c07iX8%7C,"1. 기계에서 편안하게 한 다음 하단 허벅지를 패딩 레버 아래에 놓습니다.발가락과 발의 공을 발 지지대에 놓으십시오.
2. 손잡이를 잡아서 무게가 미끄러지지 않도록하고 안전 막대를 해제하십시오.송아지가 연장 될 때까지 무게를 낮추십시오.
3. 발 뒤꿈치를 밀어 패딩 된 레버를 들어 올리고 계약 된 위치를 유지 한 다음 천천히 뒤로 아래로 시작 위치로 내려갑니다.반복하다."
Single Leg Calf Raise,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Calves/Single-Leg-Calf-Raise,https://www.musclewiki.com/media/uploads/kettlebell-male-sl-calf-raises-front.gif,https://youtu.be/chKcqDX6-CI,"1. 한 손에 케틀벨을 똑바로 서서 케틀벨이 바닥에서 벗어나지 않고 측면과 같은 발을 들어 올리십시오.
2. 무릎을 고정 상태로 유지하면서 발 뒤꿈치를 위로 올리십시오.
3. 발 뒤꿈치가 완전히 확장되면 일시 중지 한 다음 천천히 시작 위치로 돌아와 반복하십시오."
Kettlebell Calf Raise,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Calves/Kettlebell-Calf-Raise,https://www.musclewiki.com/media/uploads/kettlebell-male-calf-raises-front.gif,https://youtu.be/EtVgsp-4z4I,"1. 각 손에 케틀벨을 똑바로 서서 무릎을 고정 상태로 유지하면서 발 뒤꿈치를 위로 올리십시오.
2. 발 뒤꿈치가 완전히 확장되면 일시 중지 한 다음 천천히 시작 위치로 돌아와 반복하십시오."
Kettlebell Seated Calf Raise,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Calves/Kettlebell-Seated-Calf-Raise,https://www.musclewiki.com/media/uploads/kettlebell-male-seated-calf-raises-front.gif,https://youtu.be/ZcrQO5j9xVc,"1. 핵심 위 근육이 관여 한 의자에 편안하게 앉아 발을 바닥에 놓으십시오.
2. kettlebell을 다리 위에, 무릎 바로 위에 놓고 발 뒤꿈치를 바닥에서 위로 올리십시오.
3. 발 뒤꿈치가 완전히 확장되면 일시 중지 한 다음 천천히 시작 위치로 돌아와 반복하십시오."
Calves Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Calves/Calves-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-19-front.gif,https://youtu.be/X0BCgvBh7xs,"1. 플랫폼에서 발의 공을 균형을 잡고 벽을 사용하여 균형을 맞추기 위해 앞으로 기대어 있습니다.스트레치를 시작하기 전에 발이 평평 해 지도록 송아지를 참여시킵니다.
2. 발 뒤꿈치를 땅쪽으로 내리고 일시 중지 한 다음 팁 발가락을 서서 스트레치의 정점에서 일시 정지하는 것처럼 발의 공을 밀어 넣습니다.
3. 필요에 따라 반복하십시오."
Calves Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Calves/Calves-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-20-front.gif,https://youtu.be/nVX4f3pxMBY,"1. 양쪽 발을 바닥에 평평하게하고 어깨 앞에 한쪽 다리를 놓으면 다른 다리는 다른 어깨 뒤에이 위치를 반영해야합니다.시작 위치에서 두 무릎이 똑바로 있어야합니다.
2. 손의 손바닥을 앞면의 어깨 높이에 벽에 놓고 벽을 향해 기대어 무릎을 굽히고 앞다리를 똑바로 유지하면서 앞쪽 다리를 구부립니다.
3. 스트레치의 정점에서 일시 중지하고 시작 위치로 돌아갑니다.다리의 위치를 바꾸고 반복하십시오."
Calves Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Calves/Calves-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-21-front.gif,https://youtu.be/k3-yr6Mx3Rs,"1. 발 뒤꿈치를 땅에 대고 벽에 발을 넣으십시오.어깨 앞의 벽에 손을 넣으십시오.
2. 무릎을 똑바로 똑바로 세우고 천천히 벽을 향해 몸을 기울여 송아지 근육을 통해 스트레치가 연장되는 느낌이들 때 몇 초 동안 일시 중지하십시오.
3. 시작 위치로 돌아가서 다른 다리로 스트레칭을 반복하십시오."
Tip Toe Walking,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Calves/Tip-Toe-Walking,https://www.musclewiki.com/media/uploads/bodyweight-male-tiptoewalk-front.gif,https://youtu.be/lxUolcyfzzQ,"1. 발가락을 바닥에 가리 킵니다.
2. 천천히 앞뒤로 걸어갑니다
3. 걷는 동안 발 뒤꿈치를 가능한 한 오래 공중에 두십시오.
4. 운동이 끝날 때이 작업을 마지막으로하는 것이 유리할 수 있습니다."
Calf Raises,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Calves/Calf-Raises,https://www.musclewiki.com/media/uploads/bodyweight-male-calveraise-front.gif,https://youtu.be/SbzE8-zB20A,"1. 플랫폼이나 접시의 발의 공을 균형을 잡고 벽을 사용하여 균형을 맞추기 위해 앞으로 기대어 있습니다.
2. 발 뒤꿈치를 땅쪽으로 내리고 일시 중지 한 다음 팁 발가락을 서서 움직임의 정점을 멈추는 것처럼 발의 공을 밀어 넣습니다.
3. 필요에 따라 반복하십시오."
