exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Dumbbell Lateral Raise,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Shoulders/Dumbbell-Lateral-Raise,Shoulders,https://www.musclewiki.com/media/uploads/male-dumbbell-lateral-raise-front.gif,https://youtu.be/CJkGhtivFis,"1. 양쪽에 아령으로 똑바로 서서 손바닥이 엉덩이를 향하고 있습니다.
2. 팔꿈치가 바닥과 평행을 이룰 때까지 팔꿈치에 약간의 구부러진 상태에서 양쪽에 팔을 들어 올리십시오.동작의 상단에서 일시 중지하십시오.
3. 팔을 천천히 시작 위치로 되돌립니다."
Dumbbell Seated Overhead Press,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Shoulders/Dumbbell-Seated-Overhead-Press,Shoulders,https://www.musclewiki.com/media/uploads/male-dumbbell-seated-overhead-press-front.gif,https://www.youtube.com/watch?v=8HnbEetpoIg%7C,"1. 등을 지원하는 벤치에 앉으십시오.손바닥으로 아령을 어깨 높이로 올리십시오.
2. 아령을 위쪽으로 올리고 계약 된 위치에서 일시 중지합니다.
3. 무게를 다시 시작 위치로 낮 춥니 다."
Dumbbell Front Raise,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Shoulders/Dumbbell-Front-Raise,Shoulders,https://www.musclewiki.com/media/uploads/male-dumbbell-front-raise-front.gif,https://youtu.be/rbR9hmKz2Hs,"1. 옆에있는 아령으로 똑바로 세우면서 두 개의 아령을 잡습니다.
2. 덤벨이 시선이 될 때까지 팔꿈치가 완전히 연장되면서 두 개의 아령을 올리십시오.
3. 제어 방식으로 무게를 시작 위치로 낮추고 반복합니다."
Rear Delt Row,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Shoulders/Rear-Delt-Row,Shoulders,https://www.musclewiki.com/media/uploads/male-kettlebell-rear-delt-row-front.gif,https://youtu.be/qOpOzVJUNY8,"1. 발을 어깨 너비로두고 허벅지 앞에 양손으로 케틀벨을 잡고 서십시오.
2. 엉덩이를 앞으로 구부려 케틀벨을 바닥으로 가져 오는 동안 무릎을 약간 구부리고 등을 똑바로 유지하십시오.
3. 케틀벨을 상단 가슴쪽으로 위로 들어 올린 다음 케틀벨 벨을 낮추십시오."
Kettlebell Front Raise,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Shoulders/Kettlebell-Front-Raise,Shoulders,https://www.musclewiki.com/media/uploads/male-kettlebell-frontraise-front.gif,https://youtu.be/OgIUqIjIxM8,"1. 발을 어깨 너비로 똑바로 세우고 골반 앞에 케틀벨을 잡고 있습니다.
2. 팔을 똑바로 유지하고 케틀벨을 헤드 레벨보다 약간 높게 올리십시오.
3. 시작 위치로 돌아가서 반복하십시오."
Single Arm Lateral Raise,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Shoulders/Single-Arm-Lateral-Raise,Shoulders,https://www.musclewiki.com/media/uploads/male-kettlebell-single-arm-lateral-raise-front.gif,https://youtu.be/fzEI7L3jv2M,"1. 한 손으로 케틀벨을 잡고 발
2. 팔을 똑바로 유지하려면 케틀벨을 몸에서 머리 높이 주위로 떨어 뜨리십시오.
3. 시작 위치로 돌아가서 반복하십시오."
Shoulders Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Shoulders/Shoulders-Stretch-Variation-Four,Shoulders,https://www.musclewiki.com/media/uploads/female-shoulders-stretch-variation-4-front.gif,https://youtu.be/mpPbbH481a4,"1. 발을 어깨 너비와 함께 서십시오.어깨 높이에서 가슴 앞쪽에 팔을 놓고 팔꿈치 위의 다른 팔 팔뚝을 눌러 스트레칭 팔을 손으로 연결합니다.
2. 팔을 똑바로 때까지 눌러 상부 몸통을 회전시켜 스트레치를 더 깊게 참여시킵니다.
3. 다른 팔로 반복하십시오."
Shoulders Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Shoulders/Shoulders-Stretch-Variation-Three,Shoulders,https://www.musclewiki.com/media/uploads/male-shoulders-stretch-variation-3-front.gif,https://youtu.be/NQMe2sFiOL4,"1. 손의 꼭대기를 등의 작은 등에, 팔을 90도 각도로 놓습니다.
2. 다른 팔로 팔꿈치를 잡고 어깨가 스트레칭에 관여하는 것을 느낄 때까지 팔을 천천히 앞으로 당기십시오.스트레치의 정점에서 일시 중지하고 시작 위치로 돌아갑니다.
3. 시작 위치로 돌아가서 다른 팔로 반복하십시오."
Shoulders Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Shoulders/Shoulders-Stretch-Variation-Two,Shoulders,https://www.musclewiki.com/media/uploads/male-shoulders-stretch-variation-2-front.gif,https://youtu.be/ZEqdx05Z6K0,"1. 양쪽에서 팔로 시작하십시오.어깨를 앞으로 그리고 가슴쪽으로 밀어서 시작하십시오.
2. 필요에 따라 반복하십시오.
3. 어깨로 원형 움직임을 계속하고 귀를 향해 꼬집어 가슴을 바깥쪽으로 뻗어 움직임을 마칩니다."
Shoulders Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Shoulders/Shoulders-Stretch-Variation-One,Shoulders,https://www.musclewiki.com/media/uploads/male-shoulders-stretch-variation-1-front.gif,https://youtu.be/UFCLH__899A,"1. 팔꿈치가 머리 뒤를 위로 향하게하여 몸 뒤에 한 팔에 도달하십시오.
2. 팔꿈치에 다른 손으로 스트레칭을 돕고 어깨를 맞이하십시오.
3. 몇 초 동안 일시 중지 한 다음 다른 팔로 스트레치를 반복하십시오."
