exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Crunches,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Abdominals/Crunches,Abdominals,https://www.musclewiki.com/media/uploads/male-bodyweight-crunch-front.gif,https://www.youtube.com/watch?v=i-xRzmPWxaw%7C,"1. 무릎이 구부러지고 발이 바닥에 평평한 상태에서 등을 평평하게 놓으십시오.
2. 손바닥을 향하게하여 사원에 손가락을 놓으십시오.
3. 배를 척추의 바닥으로 끌어 당겨 근육을 참여시킨 다음 머리와 어깨를 바닥에서 내립니다.시작 위치로 돌아가서 반복하십시오."
Laying Leg Raises,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Abdominals/Laying-Leg-Raises,Abdominals,https://www.musclewiki.com/media/uploads/male-bodyweight-leg-raises-front.gif,https://www.youtube.com/watch?v=Ti3Lpnz9E18%7C,"1. 양쪽에 팔 손바닥을 내려 놓고 등을 대고 누워 있습니다.
2. 다리를 가능한 한 똑바로 유지하십시오.
3. 다리를 천천히 90 ° 각도로 높이 거나이 위치에서 일시 중지하거나 다리에 도달 할 수있는 한, 다리를 천천히 아래로 내립니다.
4. 이러한 움직임의 지속 시간은 속도가 느려서 운동량을 활용하지 않으므로 운동을 최대한 활용할 수 있습니다."
Situp,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Abdominals/Situp,Abdominals,https://www.musclewiki.com/media/uploads/male-kettlebell-situp-front.gif,https://youtu.be/71EA0M9OF6o,"1. 똑 바른 다리로 등을 평평하게 놓고 가슴 길이로 가슴 위로 주전자 종을 잡고 있습니다.
2. 배를 척추의 바닥으로 끌어 당겨 근육을 잡은 다음 가슴 위의 팔 길이로 케틀벨을 올린 채 머리와 어깨를 바닥에서 내립니다.
3. 시작 위치로 돌아가서 반복하십시오."
Kettlebell Russian Twist,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Abdominals/Kettlebell-Russian-Twist,Abdominals,https://www.musclewiki.com/media/uploads/male-kettlebell-russian-twist-front.gif,https://youtu.be/pxIi1wVIrE0,"1. 다리가 구부러지고 무릎을 꿇고 발이 바닥에서 약간 상승하여 바닥에 앉으십시오.
2. 한쪽에서 시작하여 코어 근육이 약혼하여 똑바로 앉아 케틀벨을 양손으로 바닥에서 들어 올려 몸을 가로 질러 다른쪽으로 가져와 가슴을 바닥으로 돌리십시오.
3. Kettlebell을 바닥에 가볍게 두드려서 Kettlebell을 몸을 가로 질러 시작하여 가슴을 바닥으로 돌리십시오.
4. 운동 내내 다리와 발을 구부리고 발을 키우십시오."
Abdominals Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Abdominals/Abdominals-Stretch-Variation-Four,Abdominals,https://www.musclewiki.com/media/uploads/male-abdominals-stretch-variation-4-front.gif,https://www.youtube.com/watch?v=ClaHcZch28Q%7C,"1. 발이 바닥에 단단히 심고 공을 눕히십시오.
2. 복부가 늘어나는 느낌이들 때까지 다시 몸을 기울이십시오.
3. 위쪽으로 위로 치고 1-2 카운트를 유지하십시오.
4. 시작 위치로 천천히 돌아와 반복하십시오."
Abdominals Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Abdominals/Abdominals-Stretch-Variation-Three,Abdominals,https://www.musclewiki.com/media/uploads/male-abdominals-stretch-variation-3-front.gif,https://www.youtube.com/watch?v=ABwpeUOFGf0%7C,"1. 왼쪽 팔로 손을 뻗은 다음 오른쪽으로 천천히 기대어 있습니다.경사면에서 스트레칭이 느껴질 때까지 기대어 있습니다.
2. 똑바로 세우십시오.
3. 왼쪽 팔로 원하는 양의 반복을 완료 한 후 오른쪽 팔로 전환하고 왼쪽으로 기울입니다."
Abdominals Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Abdominals/Abdominals-Stretch-Variation-Two,Abdominals,https://www.musclewiki.com/media/uploads/male-abdominals-stretch-variation-2-front.gif,https://www.youtube.com/watch?v=i-xRzmPWxaw%7C,"1. 똑바로 세우십시오.
2. 손가락을 연락 할 때까지 양손으로 위쪽으로 도달하십시오.
3. 손을 머리 위로 가면서 복부에서 늘어날 때까지 뒤로 기대어 가십시오."
Abdominals Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Abdominals/Abdominals-Stretch-Variation-One,Abdominals,https://www.musclewiki.com/media/uploads/male-abdominals-stretch-variation-1-front.gif,https://www.youtube.com/watch?v=86oJqpkxxNI%7C,"1. 바닥에 팔뚝을 평평하게두고 바닥에 뱃속에 누워 있습니다.
2. 팔꿈치를 뻗고 상체를 위로 밀어 넣으십시오.
3. 복근의 스트레칭을 느낄 때까지 상체를 위로 밀고 시작 위치로 돌아와 반복하십시오."
Forearm Plank,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Abdominals/Forearm-Plank,Abdominals,https://www.musclewiki.com/media/uploads/male-bodyweight-forearm-plank-front.gif,https://youtu.be/DkN15y1slTA,"1. 팔꿈치가 어깨 너머로 평행 한 상태에서 어깨 아래에 90 ° 각도로 구부러진 팔꿈치로 땅에 팔뚝을 놓습니다.
2. 발가락 만 바닥에 닿아 발이 함께 있어야합니다.
3. 배를 바닥에서 들어 올려 발 뒤꿈치에서 머리 왕관까지 직선을 형성하고 붙잡 으십시오."
Hanging Knee Raises,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Abdominals/Hanging-Knee-Raises,Abdominals,https://www.musclewiki.com/media/uploads/male-bodyweight-hanging-knee-raises-front.gif,https://youtu.be/FVFhZa94C6c,"1. 막대를 잡고 걸어 다니고 몸과 다리를 똑바로 똑바로 세우십시오.
2. 천천히 무릎을 가슴까지 끌어 올리십시오
3. 가능한 한 무릎을 올리면 다리를 내리고 반복하십시오.이러한 움직임의 지속 시간은 속도가 느려서 운동량을 활용하지 않으므로 운동을 최대한 활용할 수 있습니다.
4. 이러한 움직임의 지속 시간은 속도가 느려서 운동량을 활용하지 않으므로 운동을 최대한 활용할 수 있습니다."
