exercise,equipment,difficulty,link,img_link,video_link,step
Leg Raises,Bodyweight,Intermediate,https://musclewiki.com/Bodyweight/Female/Abdominals/Leg-Raises,https://www.musclewiki.com/media/uploads/female-leg-raises-front.gif,https://www.youtube.com/watch?v=7RK5_cOEL4A%7C,"1. 양쪽에 팔 손바닥을 내려 놓고 등을 대고 누워 있습니다.
2. 다리를 가능한 한 똑바로 유지하십시오.
3. 다리를 천천히 90 ° 각도로 높이 거나이 위치에서 일시 중지하거나 다리에 도달 할 수있는 한, 다리를 천천히 아래로 내립니다."
Roll Outs,Machine,Intermediate,https://musclewiki.com/Machine/Male/Abdominals/Roll-Outs,https://www.musclewiki.com/media/uploads/AbRoller-Front-021316.gif,https://www.youtube.com/watch?v=EOC1gA5rXcA%7C,"1. 양손으로 AB 롤러를 잡고 발을 위로 올려서 바닥에 무릎을 꿇고 교차합니다.
2. AB 롤러를 천천히 똑바로 굴려 몸을 직선 위치로 뻗습니다.
3. 스트레치 위치에서 일시 중지 한 후 시작 위치로 다시 당기기 시작하십시오.이것은 느리고 통제 된 움직임이어야합니다."
Barbell Roll Outs,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Abdominals/Barbell-Roll-Outs,https://www.musclewiki.com/media/uploads/male-bb-front-rollout_TIYAuZr.gif,https://youtu.be/5zaNYdVMHZY,"1. 양손으로 바벨을 잡고 발을 위로 바닥에 무릎을 꿇고
2. 바벨을 천천히 똑바로 굴려 몸을 직선 위치로 뻗습니다.
3. 스트레치 위치에서 일시 중지 한 후 시작 위치로 다시 당기기 시작하십시오.이것은 느리고 통제 된 움직임이어야합니다."
Barbell Landmine Side Bend,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Abdominals/Barbell-Landmine-Side-Bend,https://www.musclewiki.com/media/uploads/barbell-male-landminesidebend-side.gif,https://youtu.be/FSeXY4k4jYY,"1. 똑바로 서서 바벨의 끝을 잡아
2. 엉덩이와 어깨를 앞으로 향하게하고 천천히 한쪽으로 구부립니다.
3. 직립 위치로 돌아갑니다.
4. 손을 바꾸고 반복하십시오."
Cable Wood Chopper,Cables,Intermediate,https://musclewiki.com/Cables/Male/Abdominals/Cable-Wood-Chopper,https://www.musclewiki.com/media/uploads/cable-woodchopper-male-side.gif,https://youtu.be/bGfuynqdCW4,"1. 케이블을 약 젖꼭지 수준으로 설정합니다.핸들 첨부 파일을 사용하십시오.
2. 옆으로 향한 다음 팔을 저항에 대항하여 팔을 뻗어 몸통을 회전시킵니다.
3. 주어진 수의 담당자를 완료 한 후 반대 방향에 직면하고 반복하십시오."
Standing Crunch,Cables,Advanced,https://musclewiki.com/Cables/Male/Abdominals/Standing-Crunch,https://www.musclewiki.com/media/uploads/cable-standingcrunch-male-front.gif,https://youtu.be/hscS99_SKwY,"1. 이중 손잡이 부착물을 사용하고 케이블을 상단으로 끝까지 설정하십시오.
2. 케이블 타워에서 멀어지고 몇 걸음 앞으로 걸어갑니다.
3. 엉덩이를 뒤로 밀고 복근을 구부리십시오.
4. 시작 위치로 돌아가서 반복하십시오."
Wood Chopper,Band,Advanced,https://musclewiki.com/Band/Male/Abdominals/Wood-Chopper,https://www.musclewiki.com/media/uploads/band-male-woodchopper-side.gif,https://youtu.be/BMcxTkAonxc,no data
Crunch,Band,Intermediate,https://musclewiki.com/Band/Male/Abdominals/Crunch,https://www.musclewiki.com/media/uploads/band-male-crunch-front.gif,https://youtu.be/i4rcQm0SDc8,"1. 밴드를 사용할 수있는 가장 높은 앵커 포인트에 배치하십시오.밴드의 양쪽 끝을 잡고 무릎을 꿇는 위치에 빠지십시오.
2. 척추에서 엉덩이를 다시 굽히십시오.
3. 복근을 짜낸 다음 엉덩이와 척추를 시작 위치로 다시 뻗으십시오."
Dumbbell Woodchopper,Dumbbells,Advanced,https://musclewiki.com/Dumbbells/Male/Abdominals/Dumbbell-Woodchopper,https://www.musclewiki.com/media/uploads/male-dumbbell-woodchopper-side.gif,https://youtu.be/etl87SX_itM,"1. 어깨 너비 자세로 서십시오.쿼드 중 하나 근처의 아령으로 시작하십시오.
2. 상단 척추에서 회전하여 비스듬한 것을 관여시킵니다.
3. 뒷발을 피벗하여 무릎에 너무 많은 토크를 생성하지 못하게 할 수 있습니다."
Dumbbell Situp,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Abdominals/Dumbbell-Situp,https://www.musclewiki.com/media/uploads/male-dumbbell-situp-side.gif,https://youtu.be/LIq_YQqiOtY,"1. 척추 중립으로 땅에 평평하게 놓으십시오.주먹이 천장을 가리키도록 팔을 뻗어 있습니다.
2. 복근을 구부리면서 윗몸 일으십시오.전체 담당자의 천장에 계속 도달하십시오."
Russian Twist,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Abdominals/Russian-Twist,https://www.musclewiki.com/media/uploads/male-dumbbell-russian-twist-side.gif,https://youtu.be/w8JxoO3sSyg,"1. 바닥에 앉아 무릎과 엉덩이를 90도 각도로 구부립니다.
2. 발은 땅에서 떠나야합니다.(바닥에 발 뒤꿈치가 너무 어려워지면)
3. 척추를 회전시켜 비스듬히 참여하십시오."
Plank Pullthrough,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Abdominals/Plank-Pullthrough,https://www.musclewiki.com/media/uploads/male-dumbbell-plank-pull-through-front.gif,https://youtu.be/rdpKCDFZR84,"1. 판자 위치에 들어갑니다.무릎이나 발가락에서.
2. 오른손으로 DB로 시작하십시오.왼쪽으로 손을 뻗어 아령을 왼쪽 팔로 당깁니다.그런 다음 오른쪽으로 반복하십시오."
Barbell Situp,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Abdominals/Barbell-Situp,https://www.musclewiki.com/media/uploads/male-bb-side-situp_fBUauNK.gif,https://youtu.be/iDflVxwqBvI,"1. 어깨 너비 그립보다 약간 더 넓은 막대를 잡습니다.막대를 천장쪽으로 밀고 팔꿈치 확장을 유지하십시오.
2. 복근과 윗몸 일으십시오.바벨 오버 헤드를 유지하면서 몸통을 수직으로 유지하는 것을 목표로합니다."
