exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Dips (narrow elbows),Bodyweight,Advanced,https://musclewiki.com/Bodyweight/Male/Triceps/Dips-(narrow-elbows),Triceps,no data,no data,no data
Seated Overhead Tricep Extension,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Triceps/Seated-Overhead-Tricep-Extension,Triceps,https://www.musclewiki.com/media/uploads/male-dumbbell-overhead-tricep-extension-front.gif,https://youtu.be/_YIMU_LXA6I,"1. Sit on the bench and hold a dumbbell with both hands. Raise the dumbbell overhead at arms length, holding the weight up with the palms of your hands.
2. Keep your elbows in while you lower the weight behind your head, your upper arms stationary.
3. Raise the weight back to starting position."
Laying Triceps Extensions,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Triceps/Laying-Triceps-Extensions,Triceps,https://www.musclewiki.com/media/uploads/male-barbell-laying-tricep-extensions-front.gif,https://youtu.be/hacqeEQXsoo,"1. Lay on a flat bench while holding a barbell with a shoulder-width grip.
2. Fully extend your elbows until the barbell is directly over your chest.
3. Begin to flex your elbows and allow the barbell to nearly touch your forehead.
4. Extend your elbows back to the starting position and repeat."
Kettlebell Skull Crusher,Kettlebells,Advanced,https://musclewiki.com/Kettlebells/Male/Triceps/Kettlebell-Skull-Crusher,Triceps,https://www.musclewiki.com/media/uploads/male-kettlebell-skullcrusher-front.gif,https://youtu.be/B3xhPdah-54,"1. Lie on your back with knees in the air and soles of your feet flat on the floor.
2. Hold the kettlebell in both hands directly above your chest.
3. Keeping your upper arms in place, bend your elbows to slowly bring the kettlebell in front of your forehead.
4. Return to the starting position and repeat."
Decline Kettlebell Skull Crusher,Kettlebells,Advanced,https://musclewiki.com/Kettlebells/Male/Triceps/Decline-Kettlebell-Skull-Crusher,Triceps,https://www.musclewiki.com/media/uploads/male-kettlebell-decline-skull-crusher-front.gif,https://youtu.be/wm5OeiTG2lk,"1. Lie on the floor with your upper back and soles of feet on the floor, knees bent, and pelvis and lower back suspended in the air.
2. Hold the kettlebell in both hands directly above your chest.
3. Keeping your upper arms in place, bend your elbows to bring the kettlebell to the floor above your head.
4. Return the kettlebell to the starting position and repeat."
Tate Press,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Triceps/Tate-Press,Triceps,https://www.musclewiki.com/media/uploads/male-kettlebell-tate-press-front.gif,https://youtu.be/ADSscOmWwmY,"1. Lie flat on your back. Keeping your arm straight, hold the kettlebell above your chest with your palm facing away from your body.
2. Bend your arm, touching the kettlebell to the top of the shoulder opposite to the arm being worked.
3. Return to the starting position and repeat."
Dips,Bodyweight,Intermediate,https://musclewiki.com/Bodyweight/Male/Chest/Dips,Triceps,https://www.musclewiki.com/media/uploads/male-bodyweight-dips-front.gif,https://youtu.be/G4BqAiQ9mHs,"1. Hold your body with arms locked above the equipment
2. Lower your body slowly while leaning forward, flare out your elbows
3. Raise your body above the bars until your arms are locked."
Close Grip Bench Press,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Triceps/Close-Grip-Bench-Press,Triceps,https://www.musclewiki.com/media/uploads/male-barbell-close-grip-bench-press-front.gif,https://youtu.be/b5tEUN9jsGY,"1. Lay flat on the bench with your feet on the ground. With a narrow grip on the bar, straighten your arms
2. Lower the bar to your lower-mid chest
3. Slowly raise the bar until you've locked your elbows."
Cross Pushdown,Cables,Advanced,https://musclewiki.com/Cables/Male/Triceps/Cross-Pushdown,Triceps,https://www.musclewiki.com/media/uploads/male-cable-cross-push-down-front.gif,https://youtu.be/Dv-Rp8gQfmo,"1. Either use two handles or no attachment at all. Both sides of the cable crossover should be set to the top.
2. Stand in the center of the machine holding each Cable in the opposing hand. Your upper arm should be at a 45 degree angle with your torso.
3. Extend your elbows until you feel a contraction and then return to the starting position"
Cable Skullcrusher,Cables,Intermediate,https://musclewiki.com/Cables/Male/Triceps/Cable-Skullcrusher,Triceps,https://www.musclewiki.com/media/uploads/male-cable-skullcrusher-front.gif,https://youtu.be/-lfnN7-uaiY,"1. You can use a straight bar, rope, easy bar, or two handles. The cable should be set all the way to the top of the machine.
2. Face away from the machine with your elbows up and the attachment just behind your head.
3. Extend at the elbows until you feel a contraction in your triceps and then flex at the elbow back to the starting position."
