exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Barbell Squat,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Quads/Barbell-Squat,Quads,https://www.musclewiki.com/media/uploads/male-barbell-highbar-squat-front.gif,https://youtu.be/X9AaFTU5t5c,"1. 발을 어깨 너비로 구분하여 서십시오.천연 아치를 등에 유지하고 어깨 뼈를 쥐고 가슴을 올리십시오.
2. 어깨를 가로 질러 막대를 잡고 등 뒤에지지하십시오.다리를 곧게 펴서 막대를 풀고 물러나십시오.
3. 엉덩이가 무릎 아래에있을 때까지 등의 형태를 변경하지 않고 체중을 낮추면 무릎을 구부리십시오.
4. 막대를 다시 시작 위치로 올려 놓고 다리를 들어 올리고 상단에서 숨을 내 쉰다."
Leg Press,Machine,Intermediate,https://musclewiki.com/Machine/Male/Quads/Leg-Press,Quads,https://www.musclewiki.com/media/uploads/male-machine-leg-press-front.gif,https://www.youtube.com/watch?v=4HLMuZqcg2k%7C,"1. 다리를 어깨 너비로 발로 플랫폼에 놓으십시오.
2. 무릎을 잠그지 않고 체중을 풀고 다리를 완전히 뻗어 있습니다.
3. 다리가 90 ° 각도가 될 때까지 무게를 낮추십시오 (그러나 패드에서 엉덩이와 허리가 올라가지 않도록하십시오. 이것은 허리를 둥근 위치에 두어 매우 위험합니다.)
4. 체중을 다시 시작 위치로 올립니다."
Leg Extension,Machine,Intermediate,https://musclewiki.com/Machine/Male/Quads/Leg-Extension,Quads,https://www.musclewiki.com/media/uploads/male-machine-leg-extension-front.gif,https://www.youtube.com/watch?v=dUmXckio8RY%7C,"1. 쿠션에 등을 대고 기계에 앉아 사용중인 기계를 조정하여 무릎이 시작 위치에서 90도 각도가되도록 조정하십시오.
2. 무릎을 바깥쪽으로 뻗어 체중을 높이고 다리를 시작 위치로 낮 춥니 다.두 움직임 모두 느리고 제어 된 움직임으로 수행해야합니다."
Barbell Curtsy Lunge,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Quads/Barbell-Curtsy-Lunge,Quads,https://www.musclewiki.com/media/uploads/male-barbell-curtsy-lunge-front.gif,https://youtu.be/wf24lVEsmLU,"1. 바벨을 등에 놓습니다
2. 무게를 동시에 가져 오는 동안 발을 뒤로 물리칩니다.
3. 다시 시작하여 다른 다리에서 반복합니다."
Split Squat,Cables,Advanced,https://musclewiki.com/Cables/Male/Quads/Split-Squat,Quads,https://www.musclewiki.com/media/uploads/male-cable-split-squat-front.gif,https://youtu.be/IhwS7Z-Fsg0,"1.이 연습에 첨부 파일을 사용할 수 있습니다.케이블은 모두 하단으로 설정해야합니다.
2. 첨부 파일을 잡고 몇 단계를 거슬러 올라갑니다.분할 자세를 취하십시오.앞쪽의 한쪽 다리와 뒤에.
3. 무릎과 엉덩이를 끊어 스플릿 스쿼트를 시작합니다.등 무릎이 바닥에 닿아 있는지 확인하십시오.
4. 다시 서있는 위치로 쪼그리고 앉습니다."
Standing Leg Extension,Cables,Advanced,https://musclewiki.com/Cables/Male/Quads/Standing-Leg-Extension,Quads,https://www.musclewiki.com/media/uploads/male-cable-standing-leg-extension-side.gif,https://youtu.be/bEOW7J5dPqs,"1. 케이블을 엉덩이 높이로 설정 한 상태에서 케이블 크로스 오버에서 멀어지면서 똑바로 세우십시오.발목/손목 부착물을 사용하십시오.
2. 케이블에 대해 무릎을 뻗습니다."
Spanish Squat,Band,Advanced,https://musclewiki.com/Band/Male/Quads/Spanish-Squat,Quads,https://www.musclewiki.com/media/uploads/male-band-spanish-squat-side.gif,https://youtu.be/REa8GQhj0x4,no data
Band Leg Press,Band,Advanced,https://musclewiki.com/Band/Male/Quads/Band-Leg-Press,Quads,https://www.musclewiki.com/media/uploads/male-band-leg-press-side.gif,https://youtu.be/Yv655yW70hU,"1. 밴드의 앵커 포인트 옆에 머리로 바닥에 평평하게 놓으십시오.
2. 밴드를 미드 풋 주위에 놓고 무릎과 엉덩이를 뻗습니다."
Goblet Bulgarian Split Squat,Dumbbells,Advanced,https://musclewiki.com/Dumbbells/Male/Quads/Goblet-Bulgarian-Split-Squat,Quads,https://www.musclewiki.com/media/uploads/male-dumbbell-goblet-bulgarian-split-squat-front.gif,https://youtu.be/hqm4c0zkuD8,"1. 덤벨을 고블릿 스쿼트에 잡고 발을 벤치 나 상자에 놓습니다.
2. 엉덩이와 무릎을 깰 수 있습니다.햄스트링이 땅과 평행 한 지점으로 가십시오.또는 등 무릎이 바닥을 두드릴 때까지.
3. 등을 평평하게 유지하고 팔꿈치를 주먹 아래 바로 아래로 유지하십시오."
Barbell Bulgarian Split Squat,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Quads/Barbell-Bulgarian-Split-Squat,Quads,https://www.musclewiki.com/media/uploads/male-barbell-bulgarian-split-squat-side_ZYzyhEn.gif,https://youtu.be/qdzgByB7Te8,"1. 무릎 높이 또는 몇 인치 낮은 상자 나 벤치를 찾으십시오.(상자가 낮을수록 이동성 요구 사항이 낮습니다).
2. 발가락이나 발 상단을 상자에 놓을 수 있습니다.앞발을 앞으로 또는 약간 바깥쪽으로 향하게하고 무릎과 엉덩이를 동시에 부러 뜨립니다.
3. 앞다리가 평행 깊이 (지면과 평행 한 햄스트링)를 누르도록 목표로합니다.
4. 앞발을 더 앞쪽으로 앞쪽으로, 움직임 범위가 엉덩이에 더 길어집니다.앞발이 더 많이 뒤로 물리면 무릎의 롬이 길어집니다."
