exercise,equipment,difficulty,link,img_link,video_link,step
Kettlebell Deadlift,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Hamstrings/Kettlebell-Deadlift,https://www.musclewiki.com/media/uploads/kettlebell-male-deadlift-front_Omfp4bo.gif,https://youtu.be/Cenw3VFlmWc,"1. 발을 어깨 너비와 함께 허벅지 앞쪽에 양손으로 잡고있는 것입니다.
2. 엉덩이를 앞으로 구부려 케틀벨을 바닥으로 가져 오는 동안 무릎을 약간 구부리고 등을 똑바로 유지하십시오.
3. 서있는 위치로 돌아가서 반복하십시오."
Staggered Deadlift,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Hamstrings/Staggered-Deadlift,https://www.musclewiki.com/media/uploads/kettlebell-male-staggereddeadlift-front.gif,https://youtu.be/sjeoL90gh-A,"1. 발을 어깨 너비로두고 한 발을 뒤로 움직입니다.케틀벨을 허벅지 앞에서 양손으로 잡으십시오.
2. 무릎을 약간 구부리고 등을 똑바로 유지하는 동안 케틀벨을 바닥으로 가져 오는 엉덩이를 앞으로 구부립니다.
3. 직립 위치로 돌아가서 반복하십시오."
Goblet Good Morning,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Lowerback/Goblet-Good-Morning,https://www.musclewiki.com/media/uploads/kettlebell-male-gobletgoodmorning-front.gif,https://youtu.be/NaxfFSPhR6A,"1. 발을 어깨 너비로 두 손을 가슴 앞쪽으로 잡고 케틀벨을 잡고 서십시오.
2. 허리와 무릎을 똑바로 유지하고 케틀벨이 가슴에 가까이있는 엉덩이를 앞으로 구부립니다.
3. 서있는 위치로 돌아와 골반을 앞으로 밀어 넣습니다."
Lower back Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lowerback/Lower-back-Stretch-Variation-Four,https://www.musclewiki.com/media/uploads/male-strech-33-front.gif,https://youtu.be/495JqctwrUs,"1. 무릎을 비스듬히 바닥에 놓고 발을 바닥에 평평하게 놓으십시오.
2. 다리를 무릎 바로 아래로 잡고 다리를 가슴쪽으로 당깁니다.
3. 스트레치의 정점에서 일시 중지 한 다음 시작 위치로 돌아갑니다."
Lower back Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lowerback/Lower-back-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-34-front.gif,https://youtu.be/17l2qNT1k2M,"1. 양쪽에 팔로 등을 눕히십시오.
2. 천장을 향해 똑바로 향하도록 무릎을 들어 올리십시오.다리를 함께 눌렀을 때 엉덩이를 양쪽으로 돌리십시오.
3. 필요에 따라이 움직임을 반복하십시오."
Lower back Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lowerback/Lower-back-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-35-front.gif,https://youtu.be/OgW52nEwU9Q,"1. 양쪽에 팔을 가지고 바닥에 평평하게 놓으십시오.
2. 한쪽 다리로 한 발을 다른 다리의 관절 아래에 꽂습니다.
3. 무릎이 옆으로 향하기 위해 엉덩이를 회전시켜 다리를 바닥에 평평하게 유지하십시오.
4. 스트레치 정점에서 일시 중지하고 다른 다리로 반복하십시오."
Lower back Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lowerback/Lower-back-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-36-front.gif,https://youtu.be/AQcW8Bi6Sos,"1. 발 꼭대기가 바닥에 뾰족하고 평평하게 바닥에 앉으십시오.손바닥을 땅에 평평하게 놓고 손바닥을 평평하게 놓으십시오.
2. 팔을 완전히 뻗어 발 뒤꿈치에 엉덩이를 놓으면 손을 크롤링하여 필요한 경우 스트레치를 확장 할 수 있습니다.
3. 연장 위치를 몇 초 동안 유지하고 시작 위치로 돌아갑니다."
Good Mornings,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Hamstrings/Good-Mornings,https://www.musclewiki.com/media/uploads/bodyweight-male-goodmornings-front.gif,https://youtu.be/Zd_1yd6VtiA,"1. 무릎에 약간의 구부러져 어깨 너비를 약간 지나친 발로 발을 서십시오.머리 뒤에 손을 넣으십시오.
2. 등을 똑바로 유지하고 엉덩이를 돌려서 어깨를 바닥으로 내립니다.가슴이 바닥과 평행 할 때 멈추십시오."
Supermans,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Lowerback/Supermans,https://www.musclewiki.com/media/uploads/bodyweight-male-superman-front_1vlCcSX.gif,https://youtu.be/p6bK1_Jo0b8,"1. 팔을 완전히 뻗어 바닥에 눕습니다.
2. 동시에 팔, 다리 및 가슴을 바닥에서 내리고 위치를 잡습니다.
3. 팔, 다리 및 가슴을 다시 시작 위치로 천천히 낮추십시오.반복하다."
Pull Through,Cables,Beginner,https://musclewiki.com/Cables/Male/Hamstrings/Pull-Through,https://www.musclewiki.com/media/uploads/cable-male-pullthrough-front.gif,https://youtu.be/bT-CkJ5WAOs,"1.이 운동은 로프 부착물로 가장 잘 작동하지만 무엇이든 할 수 있습니다.부착물은 기계의 바닥으로 설정해야합니다.
2. 케이블 기계에서 멀어지고 케이블 자체를 가로 질러 부착물을 잡습니다.
3. 몇 걸음 더 걸어갑니다.
4. 평평한 등과 대부분의 무릎을 유지하면서 엉덩이를 끊습니다.
5. 서있는 위치로 돌아올 때까지 엉덩이를 앞으로 밀어 넣습니다."
