exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Crunches,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Abdominals/Crunches,Abdominals,https://www.musclewiki.com/media/uploads/male-bodyweight-crunch-front.gif,https://www.youtube.com/watch?v=i-xRzmPWxaw%7C,"1. Lay flat on your back with your knees bent and your feet flat on the ground, about a foot from your lower back.
2. Place your fingertips on your temples with your palms facing out.
3. Draw your belly into the base of your spine to engage the muscles, then raise your head and shoulders off the floor. Return to starting position and repeat."
Laying Leg Raises,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Abdominals/Laying-Leg-Raises,Abdominals,https://www.musclewiki.com/media/uploads/male-bodyweight-leg-raises-front.gif,https://www.youtube.com/watch?v=Ti3Lpnz9E18%7C,"1. Lay on your back with your arms palms down on either side.
2. Keep your legs together and as straight as possible.
3. Slowly raise your legs to a 90° angle, pause at this position, or as high as you can reach your legs, and then slowly lower your legs back down.
4. Duration of these movements should be slow so that you do not utilize momentum, enabling you to get the most out of the exercise."
Situp,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Abdominals/Situp,Abdominals,https://www.musclewiki.com/media/uploads/male-kettlebell-situp-front.gif,https://youtu.be/71EA0M9OF6o,"1. Lay flat on your back with straight legs and hold the kettle bell above your chest at arms length.
2. Draw your belly into the base of your spine to engage the muscles, then raise your head and shoulders off the floor with the kettlebell raised at arms length above your chest.
3. Return to the starting position and repeat."
Kettlebell Russian Twist,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Abdominals/Kettlebell-Russian-Twist,Abdominals,https://www.musclewiki.com/media/uploads/male-kettlebell-russian-twist-front.gif,https://youtu.be/pxIi1wVIrE0,"1. Sit on the floor with your legs bent, knees together and feet raised slightly off the floor.
2. Starting on one side and sitting up straight with your core muscles engaged, lift the kettlebell off the floor with both hands and bring it across your body to the other side, rotating your chest towards the floor as you do so.
3. Tap the kettlebell lightly on the floor and bring the kettlebell back across your body to the starting position, rotating your chest towards the floor.
4. Repeat, keeping the legs bent and feet raised throughout the exercise."
Abdominals Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Abdominals/Abdominals-Stretch-Variation-Four,Abdominals,https://www.musclewiki.com/media/uploads/male-abdominals-stretch-variation-4-front.gif,https://www.youtube.com/watch?v=ClaHcZch28Q%7C,"1. Lay on a ball or a Bosu ball with your feet firmly planted on the floor.
2. Lean all the way back until you feel a stretch in your abdomen.
3. Crunch upwards and hold for a 1-2 count.
4. Slowly return to the starting position and repeat."
Abdominals Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Abdominals/Abdominals-Stretch-Variation-Three,Abdominals,https://www.musclewiki.com/media/uploads/male-abdominals-stretch-variation-3-front.gif,https://www.youtube.com/watch?v=ABwpeUOFGf0%7C,"1. Reach up with your left arm and then lean slowly to the right. Lean until a stretch is felt in the obliques.
2. Stand upright.
3. After completing the desired amount of reps with the left arm, switch to the right arm and lean to the left."
Abdominals Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Abdominals/Abdominals-Stretch-Variation-Two,Abdominals,https://www.musclewiki.com/media/uploads/male-abdominals-stretch-variation-2-front.gif,https://www.youtube.com/watch?v=i-xRzmPWxaw%7C,"1. Stand upright.
2. Reach with both hands upwards until you can interlock your fingers.
3. With your hands above your head, lean back until a stretch is felt in the abdominals."
Abdominals Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Abdominals/Abdominals-Stretch-Variation-One,Abdominals,https://www.musclewiki.com/media/uploads/male-abdominals-stretch-variation-1-front.gif,https://www.youtube.com/watch?v=86oJqpkxxNI%7C,"1. Lay on your stomach on the floor with your forearms flat on the ground.
2. Extend your elbows and push your upper body upwards.
3. Push your upper body upwards until you feel a stretch in your abs, then return to the starting position and repeat."
Forearm Plank,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Abdominals/Forearm-Plank,Abdominals,https://www.musclewiki.com/media/uploads/male-bodyweight-forearm-plank-front.gif,https://youtu.be/DkN15y1slTA,"1. Place forearms on the ground with your elbows bent at a 90° angle aligned beneath your shoulders, with your arms parallel at shoulder-width.
2. Your feet should be together, with only your toes touching the floor.
3. Lift your belly off the floor and form a straight line from your heels to the crown of your head and hold."
Hanging Knee Raises,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Abdominals/Hanging-Knee-Raises,Abdominals,https://www.musclewiki.com/media/uploads/male-bodyweight-hanging-knee-raises-front.gif,https://youtu.be/FVFhZa94C6c,"1. Grab the bar and hang, your body still and your legs straight.
2. Slowly draw your knees up to your chest
3. Once you have raised your knees as high as possible, lower your legs and repeat. Duration of these movements should be slow so that you do not utilize momentum, enabling you to get the most out of the exercise.
4. Duration of these movements should be slow so that you do not utilize momentum, enabling you to get the most out of the exercise."
Kneeling Crunch,Cables,Beginner,https://musclewiki.com/Cables/Male/Abdominals/Kneeling-Crunch,Abdominals,https://www.musclewiki.com/media/uploads/male-cable-kneeling-crunch-side.gif,https://youtu.be/tjzf7MggTJo,"1. Use a double handle attachment and set the cable all the way to the top.
2. Walk a few steps forward then fall into a kneeling position.
3. Push your hips back and flex your abs, then push hips forward until in the starting position."
