exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Glute Bridge,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Glutes/Glute-Bridge,Glutes,https://www.musclewiki.com/media/uploads/male-bodyweight-glute-bridge-front.gif,https://youtu.be/QpcZ35uB_08,"1. Lie down with your knees bent and your feet flat on the floor.
2. Push your hips up so that your butt is elevated and your back straight.
3. Tense your glutes and raise your hips towards the ceiling.
4. Once you are at the highest point you can manage, hold the position for a few seconds, and then slowly return to the starting position"
Single Leg Glute Bridge,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Glutes/Single-Leg-Glute-Bridge,Glutes,https://www.musclewiki.com/media/uploads/male-bodyweight-single-leg-glute-bridge-front.gif,https://youtu.be/jCzP6C-qKYo,"1. Lie down with one knee bent and and one with a slight bend.
2. Push your hips up, so that your butt is elevated and your back straight.
3. Tense your glutes and raise your hips towards the ceiling.
4. Once you are at the highest point you can manage, hold the position for a few seconds, and then slowly return to the starting position."
Kettlebell Glute Bridge,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Glutes/Kettlebell-Glute-Bridge,Glutes,https://www.musclewiki.com/media/uploads/male-kettlebell-glute-bridge-front.gif,https://youtu.be/fWU_4ysp0Y8,"1. Laying on the floor with your knees bent and feet firmly on the floor, rest the kettlebell on your pelvis.
2. Pushing through the legs and keeping the core muscles engaged, raise your pelvis off the floor until your stomach, pelvis and thighs make a straight line.
3. Slowly lower to the ground to the starting position and repeat."
Hip Thrust,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Glutes/Hip-Thrust,Glutes,https://www.musclewiki.com/media/uploads/male-kettlebell-hip-thrust-front.gif,https://youtu.be/f3KqAL-Q9Qw,"1. Sitting on the floor with your knees bent and feet planted firmly on the floor, lean your back against the bench.
2. Resting the kettlebell on your pelvis, raise your pelvis until your stomach, pelvis and thighs are in line.
3. Slowly lower until you are in the starting position and repeat."
Glutes Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Glutes/Glutes-Stretch-Variation-Three,Glutes,https://www.musclewiki.com/media/uploads/male-glutes-stretch-variation-3-front.gif,https://youtu.be/10px3OnzfqU,"1. Lay flat and bring your left leg to 90 degrees.
2. Hold your left leg with both hands and slowly rotate your hips to the right hand side.
3. Hold at the peak of the stretch, then slowly return to starting position.
4. Switch sides and repeat."
Glutes Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Glutes/Glutes-Stretch-Variation-Two,Glutes,https://www.musclewiki.com/media/uploads/male-glutes-stretch-variation-2-front.gif,https://youtu.be/gr1NjzfIbNk,"1. Sit on the ground and lay one leg flat and the other over the top.
2. Hold your leg with the same side arm and slowly rotate your hips and back.
3. Hold at the peak of the stretch, then slowly return to starting position.
4. Switch sides and repeat."
Glutes Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Glutes/Glutes-Stretch-Variation-One,Glutes,https://www.musclewiki.com/media/uploads/male-glutes-stretch-variation-1-front.gif,https://youtu.be/2th-SvkjF6A,"1. On your front, place one leg forward and then stretch out the same side arm across the mat/floor.
2. Fully extend your leg and arm.
3. Hold at the peak of the stretch, then slowly return to starting position.
4. Switch sides and repeat."
Side Lunges,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Quads/Side-Lunges,Glutes,https://www.musclewiki.com/media/uploads/male-bodyweight-side-lunge-front.gif,https://youtu.be/m5y8RANJwiE,"1. Take a slow, lateral step to the right.
2. Extend the left knee, and drive your weight into your right side.
3. Flex your knee and lower your body.
4. Push back to the starting position."
Forward Lunges,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Quads/Forward-Lunges,Glutes,https://www.musclewiki.com/media/uploads/male-bodyweight-forward-lunge-front.gif,https://youtu.be/hRyH9tVwMjU,"1. Step forward with one leg.
2. Lower your body until your rear knee nearly touches the ground.
3. Ensure you remain upright, and your front knee stay above the front foot.
4. Push off the floor with your front foot until you return to the starting position. Switch legs."
Jump Squats,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Quads/Jump-Squats,Glutes,https://www.musclewiki.com/media/uploads/male-bodyweight-jump-squat-front.gif,https://youtu.be/vE320InfPN8,"1. Stand with your feet shoulder-width apart.
2. Start by doing a regular squat, then engage your core and jump up explosively.
3. When you land, lower your body back into the squat position."
Good Mornings,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Hamstrings/Good-Mornings,Glutes,https://www.musclewiki.com/media/uploads/male-bodyweight-good-mornings-front.gif,https://youtu.be/Zd_1yd6VtiA,"1. Stand with your feet a little past shoulder width apart with a slight bend at your knee. Place your hands behind the back of your head.
2. Keeping your back straight, rotate your hips to bring your shoulders down towards the floor. Stop when your chest is parallel with the floor."
Goblet Squat,Cables,Beginner,https://musclewiki.com/Cables/Male/Quads/Goblet-Squat,Glutes,https://www.musclewiki.com/media/uploads/male-cable-goblet-squat-front.gif,https://youtu.be/cp67Ao6O--c,"1. Start with a straight bar or easy bar attachment .
2. Get your elbows directly underneath the bar, squat straight up and then walk back a few steps.
3. Break at your knees and hips to initiate the squat. Make sure you maintain a flat back.
4. Squat all the way back to a standing position."
Pull Through,Cables,Beginner,https://musclewiki.com/Cables/Male/Hamstrings/Pull-Through,Glutes,https://www.musclewiki.com/media/uploads/male-cable-pull-through-side.gif,https://youtu.be/XkbWQxxop24,"1. This exercise works best with a rope attachment but can be done with anything. The attachment should be set to the bottom of the machine.
2. Face away from the cable machine, straddle the cable itself, and grab the attachment.
3. Walk a few steps away.
4. Break at the hips while maintaining a flat back and mostly extended knees.
5. Push hips forward until you are back in a standing position."
Hip Abduction,Cables,Beginner,https://musclewiki.com/Cables/Male/Glutes/Hip-Abduction,Glutes,https://www.musclewiki.com/media/uploads/male-cable-hip-abduction-side.gif,https://youtu.be/WKJyZ6aXB_I,"1. Use an ankle attachment. Cable should be set all the way to the bottom.
2. Face sideways with the ankle attachment on your outside leg. Walk a few steps away.
3. Abduct at the hips and raise your leg out to the side.
4. Return to the starting position and stop just short of your foot touching back to the ground (to keep tension on the muscle)."
Cable Glute Kickback,Cables,Beginner,https://musclewiki.com/Cables/Male/Glutes/Cable-Glute-Kickback,Glutes,https://www.musclewiki.com/media/uploads/male-cable-glute-kickbacks-front.gif,https://youtu.be/N_InWvS5Mlc,"1. Use an ankle attachment. The cable should be set to the bottom of the crossover machine.
2. Push your ankle straight back, extending at the hip. Hold for a one count when you feel a contraction in your glutes.
3. Then flex at the hips until you are back into your original position."
Good Morning,Band,Beginner,https://musclewiki.com/Band/Male/Hamstrings/Good-Morning,Glutes,https://www.musclewiki.com/media/uploads/male-band-good-morning-side.gif,https://youtu.be/vn3MxFuJKCg,"1. Anchor the band at hip level. Take a few steps away until the band is taut.
2. Push your hips back while keeping your back flat until you feel a stretch in your hamstrings."
Pullthrough,Band,Beginner,https://musclewiki.com/Band/Male/Hamstrings/Pullthrough,Glutes,https://www.musclewiki.com/media/uploads/male-band-pull-through-side.gif,https://youtu.be/guTWXeyDPQc,"1. Anchor the band to the lowest point possible. Straddle the band and then grab with both hands.
2. Take a few steps away until the band is taut.
3. Push your butt back until you feel a stretch in your hamstrings. Then extend the hips back into the starting position."
Band Squat,Band,Beginner,https://musclewiki.com/Band/Male/Quads/Band-Squat,Glutes,https://www.musclewiki.com/media/uploads/male-band-squat-side.gif,https://youtu.be/60hbDzAT1p4,"1. Stand with a shoulder width grip. Both feet should be on the band with the band loops in each of your hand.
2. Push your butt back and also break at the knees.
3. Try to hit parallel depth (bottom of your leg should be parallel with the ground). If you can't tell your squat depth, then try squatting in front of a mirror and watch your form."
Dumbbell Hip Thrust,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Glutes/Dumbbell-Hip-Thrust,Glutes,https://www.musclewiki.com/media/uploads/male-dumbbell-hip-thrust-front.gif,https://youtu.be/UIR7LxhJGEo,"1. Place your shoulder blades against a box or bench that won't move.
2. Both your feet should be planted and your heels should not come off the floor. Point your toes forward.
3. Break at the hips. Seek the longest range of motion possible. Focus on the top end of the movement. Push your hips as high as possible on each rep."
Dumbbell Glute Bridge,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Quads/Dumbbell-Glute-Bridge,Glutes,https://www.musclewiki.com/media/uploads/male-dumbbell-glute-bridge-side.gif,https://youtu.be/aV4Kje5Bv-0,"1. Lay flat on the ground with both feet planted. Make sure you keep your heels glued to the floor.
2. Place the dumbbell on your hips. Push your hips toward the ceiling until you feel your glutes contract.
3. Then return to the floor."
High Bar Squat,Barbell,Beginner,https://musclewiki.com/Barbell/Male/Quads/High-Bar-Squat,Glutes,https://www.musclewiki.com/media/uploads/male-barbell-higbar-squat-front.gif,https://youtu.be/-EUK9rPkklY,"1. Place the bar on top of your traps.
2. Push your hips back and break at the knees. Push your elbows forward to keep yourself from getting pitched too far forward.
3. Aim to get your hamstrings to parallel with the floor.
4. Push your heels into the floor and squat back to a standing position."
Dumbbell Goblet Squat,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Quads/Dumbbell-Goblet-Squat,Glutes,https://www.musclewiki.com/media/uploads/male-dumbbell-goblet-squat-front.gif,https://www.youtube.com/watch?v=fgtbciu_Mss%7C,"1. Hold the weight tucked into your upper chest area, keeping your elbows in. Your feet should be slightly wider than shoulder width.
2. Sink down into the squat, keeping your elbows inside the track of your knees.
3. Push through your heels while keeping your chest up and return to starting position."
