exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Stiff Leg Deadlifts,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Hamstrings/Stiff-Leg-Deadlifts,Hamstrings,https://www.musclewiki.com/media/uploads/male-barbell-stiff-leg-deadlift-front.gif,https://www.youtube.com/watch?v=xr-bEXafYRg%7C,"1. 어깨 너비를 분리하여 발을 내밀에 바벨과 함께 서십시오.
2. 엉덩이를 앞으로 구부리고 가능한 한 완전히 연장 된 상태로 유지하십시오.
3. 바벨을 잡고 똑바로 유지하면서 엉덩이를 뻗어 있습니다.
4. 서있는 위치에서 무게를 통제 된 방식으로 낮 춥니 다.
5. 이동성에 따라 무게를 바닥으로 내리거나 바닥을 만질 수 있습니다."
Ball Hamstring Curl,Bodyweight,Intermediate,https://musclewiki.com/Bodyweight/Female/Hamstrings/Ball-Hamstring-Curl,Hamstrings,https://www.musclewiki.com/media/uploads/female-ball-hamstring-curls-front.gif,https://www.youtube.com/watch?v=08topj65M-8%7C,"1. 발 아래에 안정성 공으로 등을 대고 누워 있습니다.
2. 무릎과 엉덩이를 동시에 완전히 확장하십시오.
3. 엉덩이를 연장하는 동안 무릎을 구부리십시오.
4. 햄스트링을 구부린 다음 시작 위치로 돌아갑니다."
Kettlebell Swing,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Hamstrings/Kettlebell-Swing,Hamstrings,https://www.musclewiki.com/media/uploads/male-kettlebell-swing-front.gif,https://youtu.be/VdgDAbEnNLg,"1. 다리 사이에 케틀벨을 잡고 무릎이 약간 구부러진 상태에서 발을 어깨 너비보다 약간 넓게 두십시오.
2. 등을 똑바로 유지하려면 케틀벨이 가슴과 함께 수평을 유지하고 조심스럽게 낮아질 때까지 케틀벨을 위로 스윙하십시오.
3. 반복하십시오"
Kettlebell Single Leg Deadlift,Kettlebells,Advanced,https://musclewiki.com/Kettlebells/Male/Hamstrings/Kettlebell-Single-Leg-Deadlift,Hamstrings,https://www.musclewiki.com/media/uploads/male-kettlebell-single-leg-deadlift-front.gif,https://youtu.be/vgX-tyU6SqI,"1. 발을 어깨 너비로 떨어 뜨려서 한 발을 바닥에서 바닥에서 들어 올리십시오.Kettlebell을 들어 올린 다리와 같은 팔에 잡으십시오.
2. 엉덩이를 앞으로 구부려 케틀벨을 바닥으로 가져 오는 동안 들어 올린 다리를 뒤로 뻗어 등을 똑바로 유지하여 팔을 옆으로 잡고 균형을 유지하십시오.
3. 직립 위치로 돌아가서 반복하십시오."
Nordic Hamstring Curl,Bodyweight,Advanced,https://musclewiki.com/Bodyweight/Male/Hamstrings/Nordic-Hamstring-Curl,Hamstrings,https://www.musclewiki.com/media/uploads/male-bodyweight-nordic-hamstring-curl-front.gif,https://youtu.be/u0E2RHm7adQ,"1. 무릎을 꿇고 발목을 잡으라고 누군가에게 요청하십시오.
2. 손을 당신 앞에 두십시오
3. 무릎에 약간의 구부러지면 천천히 몸을 땅에 데려 오십시오 (느리게 더 좋습니다)
4. 밀고 시작 위치로 재설정하십시오."
Cable Romanian Deadlift,Cables,Intermediate,https://musclewiki.com/Cables/Male/Hamstrings/Cable-Romanian-Deadlift,Hamstrings,https://www.musclewiki.com/media/uploads/male-cable-romanian-dead-lift-side.gif,https://youtu.be/tvpB7UAuIsQ,"1. 기계 바닥에 직선 바 또는 EZ 막대 부착물로 시작하십시오.무게를 서있는 자세로 쪼그리고 앉고 몇 걸음 뒤로 걸어갑니다.
2. 엉덩이를 뒤로 밀어 움직임을 시작한 다음 서있는 위치로 돌아올 때까지 엉덩이를 앞으로 밀어 넣으십시오.
3. 부상으로부터 자신을 보호하려면 항상 운동에 대한 평평한 등을 유지하십시오."
Single Leg Deadlift,Cables,Advanced,https://musclewiki.com/Cables/Male/Hamstrings/Single-Leg-Deadlift,Hamstrings,https://www.musclewiki.com/media/uploads/male-cable-single-leg-romanian-deadlift-front.gif,https://youtu.be/Gb6IRCLvG9c,"1. 직선 막대 또는 쉬운 막대 부착물로 시작하십시오.무게를 서있는 자세로 쪼그리고 앉고 몇 걸음 뒤로 걸어갑니다.
2. 다리 중 하나를 들어 올리는 동안 엉덩이를 뒤로 밀어 움직임을 시작하십시오.
3. 그런 다음 서있는 자세로 돌아올 때까지 엉덩이를 앞으로 밀어 넣으십시오.
4. 주어진 양의 담당자를 경쟁 한 다음 반대쪽 다리로 전환하십시오.
5. 부상으로부터 자신을 보호하려면 항상 평평한 등을 유지하십시오."
Cable Hamstring Curl,Cables,Advanced,https://musclewiki.com/Cables/Male/Hamstrings/Cable-Hamstring-Curl,Hamstrings,https://www.musclewiki.com/media/uploads/male-cable-hamstring-curl-front.gif,https://youtu.be/ZKb8dHjQOag,"1. 케이블 세트와 함께 발목 부착물을 기계의 바닥까지 끝까지 사용하십시오.
2. 똑바로 세우거나 약간 앞으로 구부리십시오.
3. 무릎을 굽히고 발목을 똑바로 당깁니다."
Romanian Deadlift,Band,Intermediate,https://musclewiki.com/Band/Male/Hamstrings/Romanian-Deadlift,Hamstrings,https://www.musclewiki.com/media/uploads/male-band-romanian-deadlift-side.gif,https://youtu.be/pegmZMhIgX8,no data
Dumbbell Goblet Good Morning,Dumbbells,Advanced,https://musclewiki.com/Dumbbells/Male/Hamstrings/Dumbbell-Goblet-Good-Morning,Hamstrings,https://www.musclewiki.com/media/uploads/male-dumbbell-goblet-good-morning-front.gif,https://youtu.be/bYSV8hDuTUs,"1. 아령을 잔지에서 고정시킵니다.주먹 아래에서 팔꿈치를 직접.
2. 무릎을 대부분 연장하는 동안 엉덩이를 뒤로 밀어냅니다.당신은 당신의 햄스트링에 뻗어 있어야합니다.
3. 스트레치가 느껴지면 서있는 위치로 돌아올 때까지 엉덩이를 앞으로 밀어 넣습니다."
