exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Dumbbell Seated Shrug,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Traps/Dumbbell-Seated-Shrug,Traps,https://www.musclewiki.com/media/uploads/male-dumbbell-seated-shrug-front.gif,https://www.youtube.com/watch?v=tF2jihIdLDc%7C,"1. 양손에 아령, 손바닥이 몸을 향하고 똑바로 똑바로 벤치에 앉으십시오.
2. 어깨를 높이고 움직임의 정점에서 계약 된 위치를 유지하십시오.
3. 어깨를 천천히 시작 위치로 다시 내립니다."
Standing Smith Machine Shrugs,Machine,Beginner,https://musclewiki.com/Machine/Male/Traps/Standing-Smith-Machine-Shrugs,Traps,https://www.musclewiki.com/media/uploads/male-standing-smith-machine-shrugs-front.gif,https://www.youtube.com/watch?v=137KPCKrG88%7C,"1. 팔을 낮은 런그에 놓으면 팔이 완전히 뻗어 있고 등이 똑바로되도록하십시오.
2. 어깨 너비를 잡고 어깨로 막대를 올리고 계약 된 위치에서 일시 중지하십시오.
3. 막대를 다시 시작 위치로 낮추십시오."
Kettlebell Shrug,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Traps/Kettlebell-Shrug,Traps,https://www.musclewiki.com/media/uploads/male-kettlebell-shrug-front.gif,https://youtu.be/AcNFS2yHlvs,"1. 어깨 너비를 발로 똑바로 서십시오.
2. 골반 앞에 케틀벨을 양손 앞에 잡고 어깨 날을 함께 만지려고하는 것처럼 어깨 날을 맞이하십시오.
3. 어깨를 으 and하고 반복하십시오"
Kettlebell Upright Row,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Traps/Kettlebell-Upright-Row,Traps,https://www.musclewiki.com/media/uploads/male-kettlebell-upright-row-front.gif,https://youtu.be/Xd-O1lQ_dcE,"1. 발을 어깨 너비와 함께 허벅지 앞쪽에 양손으로 잡고있는 것입니다.
2. 엉덩이를 앞으로 구부려 케틀벨을 바닥으로 가져 오는 동안 무릎을 약간 구부리고 등을 똑바로 유지하십시오.
3. 케틀벨을 가슴쪽으로 위로 들어 올리고 반복하십시오."
Traps Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Traps/Traps-Stretch-Variation-Three,Traps,https://www.musclewiki.com/media/uploads/male-traps-stretch-variation-3-front.gif,https://youtu.be/dNJo39Dd8xs,"1. 발을 어깨 너비로 똑바로 세우십시오.
2. 머리를 앞으로 고개를 끄덕이며 턱을 가슴에 가져옵니다.
3. 당신은 당신의 목을 가로 질러 스트레칭을 느낄 것입니다."
Traps Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Traps/Traps-Stretch-Variation-Two,Traps,https://www.musclewiki.com/media/uploads/male-traps-stretch-variation-2-front.gif,https://youtu.be/mUQu23oL6ew,"1. 가슴을 앞으로 향하게하고 머리를 왼쪽으로 90도 돌리십시오.그런 다음 중앙 지점으로 돌아갑니다.
2. 발을 어깨 너비로 똑바로 세우십시오.
3. 반복하여 머리를 다른 방향으로 돌리십시오."
Traps Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Traps/Traps-Stretch-Variation-One,Traps,https://www.musclewiki.com/media/uploads/male-traps-stretch-variation-1-front.gif,https://youtu.be/A9-OQjF3KwY,"1. 발을 어깨 너비로 똑바로 세우십시오.
2. 왼손을 머리에 놓고 머리를 부드럽게 왼쪽 어깨쪽으로 당기십시오.그런 다음 중앙 지점으로 돌아갑니다.
3. 오른손을 오른쪽 어깨쪽으로 당기고 반복하십시오."
Elevated Pike Shoulder Shrug,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Traps/Elevated-Pike-Shoulder-Shrug,Traps,https://www.musclewiki.com/media/uploads/male-bodyweight-elevated-pike-shrug-front.gif,https://youtu.be/cCAJ4yTOUok,"1. 벤치 나 의자와 같은 물체를 사용하여 발을 높이십시오.
2. 팔꿈치를 잠글 때까지 천천히 몸을 낮추십시오 (견갑골) (이것은 핵심입니다)
3. 천천히 몸을 시작 위치로 다시 올립니다."
30 Degree Shrug,Cables,Beginner,https://musclewiki.com/Cables/Male/Traps/30-Degree-Shrug,Traps,https://www.musclewiki.com/media/uploads/male-cable-shrug-front.gif,https://youtu.be/d0WZOK63wHw,"1. 크로스 오버의 양쪽에 핸들 부착물을 사용하십시오.케이블 부착물이 바닥까지 설정되어 있습니다.
2. 두 손잡이를 모두 잡고 기계에 중앙에 있는지 확인하십시오.팔을 자유롭게 매달리게하십시오.
3. 어깨 뼈를 귀쪽으로 당기십시오.어깨 뼈가 시작 위치로 돌아 오게하십시오."
Silverback Shrug,Cables,Beginner,https://musclewiki.com/Cables/Male/Traps/Silverback-Shrug,Traps,https://www.musclewiki.com/media/uploads/male-cable-silverback-shrug-front.gif,https://youtu.be/MO7rdfXwxQ8,"1. 막대 부착물을 사용하십시오.케이블은 아래쪽으로 바닥까지 설정해야합니다.
2. 손에 첨부 한 상태에서 일어 서서 몇 단계 뒤로 걸어 가면 똑바로 세우고 뒤로 기대지 않도록하십시오.
3. 어깨 날을 되돌리게 한 다음 시작 위치로 돌아갑니다."
