exercise,equipment,difficulty,link,img_link,video_link,step
Neutral Grip Pulldown,Machine,Beginner,https://musclewiki.com/Machine/Male/Lats/Neutral-Grip-Pulldown,https://www.musclewiki.com/media/uploads/NeutralGripPulldown-Front-021316.gif,https://www.youtube.com/watch?v=Mz60YgWiI1U%7C,"1. 손바닥이 앞으로 향하게 된 상태에서 막대를 잡으십시오. 손은 어깨 너비보다 더 넓은 거리에서 간격을 두어야합니다.
2. 두 팔이 바를 잡고 두 팔을 뻗어 있으므로 가슴을 꽂는 동안 몸통을 30도 정도 가져옵니다.
3. 어깨 뼈를 함께 짜는 동안 부드러운 움직임으로 바를 턱 수준 주 정도 또는 약간 낮게 당겨서 바를 아래로 당깁니다.
4. 1 초의 압박 후, 팔을 완전히 확장 할 때 바를 시작 위치로 천천히 다시 올리십시오."
Seated Cable Row,Machine,Beginner,https://musclewiki.com/Machine/Male/Lats/Seated-Cable-Row,https://www.musclewiki.com/media/uploads/SeatedCableRow-Front-021316.gif,https://www.youtube.com/watch?v=-gLQHqEtEpY%7C,"1. 기계에 등을 똑바로 앉아 손잡이를 잡습니다.
2. 팔을 사용하여 핸들을 다시 당깁니다.다리와 몸통은 90 ° 각도이어야합니다.가슴을 밀어 내십시오.
3. 손이 복부 옆에있을 때까지 손잡이를 몸쪽으로 당기십시오."
Kettlebell Row,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Lats/Kettlebell-Row,https://www.musclewiki.com/media/uploads/kettlebell-male-row-front.gif,https://youtu.be/DpflFvJnjxo,"1. 발을 어깨 너비와 함께 허벅지 앞쪽에 양손으로 잡고있는 것입니다.
2. 엉덩이를 앞으로 구부려 케틀벨을 바닥으로 가져 오는 동안 무릎을 약간 구부리고 등을 똑바로 유지하십시오.
3. 케틀벨을 가슴쪽으로 위로 들어 올리고 반복하십시오."
Single Arm Row,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Lats/Single-Arm-Row,https://www.musclewiki.com/media/uploads/kettlebell-male-sarow-side.gif,https://youtu.be/pUNI4au9d24,"1. 발을 어깨 너비로두고 한 발을 뒤로 움직입니다.다리가 뒤로 바뀌는 것과 같은 손에 케틀벨을 잡고 있습니다.
2. 엉덩이에서 앞으로 구부려 케틀벨을 바닥으로 가져 오는 동안 무릎을 약간 구부리고 등을 똑바로 유지합니다.
3. 케틀벨을 가슴쪽으로 위로 들어 올리고 반복하십시오."
Lats Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lats/Lats-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-11-front.gif,https://youtu.be/goQAAe4HzdA,"1. 몸에 기대어 벽을 찾아서 손을 등 뒤로 벽에 놓으십시오.
2. 천천히 벽에 기대어.
3. 시작 위치로 돌아간 다음 측면을 전환하십시오."
Lats Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lats/Lats-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-2-front.gif,https://youtu.be/9RaJgODaf7w,"1. 오른쪽으로 서서 손을 머리 위로 완전히 펴십시오.
2. 천천히 몸을 가로 질러 몸을 기울여 다리를 반대쪽으로 추적하십시오.
3. 스트레치의 바닥을 잡고 시작 위치로 돌아간 다음 측면을 전환하십시오."
Lats Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lats/Lats-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-37-front.gif,https://youtu.be/RRcKHHEQ3wI,"1. 양손을 벽에 놓으십시오.
2. 스트레칭을 느낄 때까지 천천히 몸을 낮추십시오.
3. 스트레치의 바닥에서 잡고 시작 위치로 돌아갑니다."
Inverted Row,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Biceps/Inverted-Row,https://www.musclewiki.com/media/uploads/bodyweight-male-reverse-row-front.gif,https://youtu.be/EuT4-4OFySE,"1. 고정 수평 막대 아래에 놓고 넓은 오버 핸드 그립으로 막대를 잡습니다.
2. 몸을 바로 똑바로 당기십시오.
3. 시작 위치로 돌아 가면 팔이 완전히 연장되었습니다.반복하다."
Kneeling Single Arm Pulldown,Band,Beginner,https://musclewiki.com/Band/Male/Biceps/Kneeling-Single-Arm-Pulldown,https://www.musclewiki.com/media/uploads/male-band-kneeling-single-arm-pulldown-side.gif,https://youtu.be/hGXi-ztgU6g,"1. 밴드를 눈 수준 약으로 배치하십시오.무릎을 꿇는 위치에 빠지십시오.
2. 땅에있는 무릎은 작업 팔과 같은 쪽이어야합니다.가슴을 내밀세요.
3. 그런 다음 팔꿈치를 똑바로 당깁니다.LAT를 구부린 다음 시작 위치로 확장하십시오."
Row,Band,Beginner,https://musclewiki.com/Band/Male/Lats/Row,https://www.musclewiki.com/media/uploads/band-male-row-front.gif,https://youtu.be/mbaGqVotoG4,no data
Dumbbell Row Unilateral,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Biceps/Dumbbell-Row-Unilateral,https://www.musclewiki.com/media/uploads/male-dumbbell-unilateral-row-side.gif,https://youtu.be/lOsU4wCPY2o,"1. 안정적인 물건에 대해 팔을 바르십시오 (벤치, 상자).작업 팔 옆의 다리가 돌아 오도록 자세를 비틀 거리십시오.
2. 몸통을 땅과 평행하게하십시오.그것은 당신의 움직임 범위를 확장 할 것입니다.
3. 팔을 자유롭게 매달린 다음 팔꿈치를 뒤로 당기십시오.겨드랑이에 테니스 공이 있다고 상상해보십시오."
