exercise,equipment,difficulty,link,img_link,video_link,step
Dips (narrow elbows),Bodyweight,Advanced,https://musclewiki.com/Bodyweight/Male/Triceps/Dips-(narrow-elbows),no data,no data,no data
Seated Triceps Extensions,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Triceps/Seated-Triceps-Extensions,https://www.musclewiki.com/media/uploads/male-dumbbell-overhead-extensions-front.gif,https://youtu.be/_YIMU_LXA6I,"1. 벤치에 앉아 양손으로 아령을 잡고 있습니다.팔 길이로 아령 오버 헤드를 올려 손바닥으로 무게를 올리십시오.
2. 머리 뒤에 무게를 낮추는 동안 팔꿈치를 유지하십시오.
3. 체중을 다시 시작 위치로 올립니다."
Laying Triceps Extensions,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Triceps/Laying-Triceps-Extensions,https://www.musclewiki.com/media/uploads/male-barbell-laying-tricep-extensions-side.gif,https://youtu.be/V-KP5hqD464,"1. 어깨 너비 그립이있는 바벨을 들고 평평한 벤치에 놓으십시오.
2. 바벨이 가슴 바로 위에 올 때까지 팔꿈치를 완전히 확장하십시오.
3. 팔꿈치를 구부리기 시작하고 바벨이 이마를 거의 만지도록하십시오.
4. 팔꿈치를 시작 위치로 다시 뻗어 반복하십시오."
Kettlebell Skull Crusher,Kettlebells,Advanced,https://musclewiki.com/Kettlebells/Male/Triceps/Kettlebell-Skull-Crusher,https://www.musclewiki.com/media/uploads/kttlebell-male-skullcrusher-side.gif,https://youtu.be/qPRfNvuBy5c,"1. 공중에서 무릎을 꿇고 발바닥이 바닥에 평평하게 등을 대고 눕습니다.
2. 케틀벨을 가슴 바로 위로 양손으로 잡습니다.
3. 팔을 제자리에두고 팔꿈치를 구부려 천천히 케틀벨을 이마 앞쪽으로 가져옵니다.
4. 시작 위치로 돌아가서 반복하십시오."
Decline Skull Crusher,Kettlebells,Advanced,https://musclewiki.com/Kettlebells/Male/Triceps/Decline-Skull-Crusher,https://www.musclewiki.com/media/uploads/kettlebell-male-declineskullcrusher-side_nesXT5l.gif,https://youtu.be/klJfTRXw__U,"1. 윗부분과 발바닥이 바닥에 눕고, 무릎이 구부러지고 골반이 공기에 매달려 있습니다.
2. 케틀벨을 가슴 바로 위로 양손으로 잡습니다.
3. 팔을 제자리에두고 팔꿈치를 구부려 케틀벨을 머리 위의 바닥으로 가져옵니다.
4. 케틀벨을 시작 위치로 되돌리고 반복합니다."
Tate Press,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Triceps/Tate-Press,https://www.musclewiki.com/media/uploads/kettlebell-male-tatepress-side.gif,https://youtu.be/T3AAwKrp8Uc,"1. 등에 평평하게 눕습니다.팔을 똑바로 유지하고 손바닥을 몸에서 멀어지게하여 가슴 위의 케틀벨을 잡고 있습니다.
2. 팔을 구부리면서 케틀벨을 어깨의 꼭대기에 닿아 팔이 작동하는 팔과 반대됩니다.
3. 시작 위치로 돌아가서 반복하십시오."
Elevated Pike Press,Bodyweight,Intermediate,https://musclewiki.com/Bodyweight/Male/Traps/Elevated-Pike-Press,https://www.musclewiki.com/media/uploads/bodyweight-male-pikepushup-front.gif,https://youtu.be/xxWbfDg9oS0,"1. 벤치 나 물체를 사용하여 발을 높이십시오.
2. 팔꿈치를 구부려 머리를 바닥쪽으로 내립니다.
3. 손을 뚫고 시작 파이크 위치로 돌아갑니다.
4. 반복하십시오"
Dips,Bodyweight,Intermediate,https://musclewiki.com/Bodyweight/Male/Chest/Dips,https://www.musclewiki.com/media/uploads/bodyweight-male-dips-front_5pJM6Vh.gif,https://youtu.be/G4BqAiQ9mHs,"1. 장비 위에 팔을 잠긴 상태에서 몸을 잡고
2. 앞으로 기대면서 천천히 몸을 내리고 팔꿈치를 벗겨냅니다.
3. 팔이 잠겨질 때까지 몸을 바로 올려 놓으십시오."
Close Grip Bench Press,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Triceps/Close-Grip-Bench-Press,https://www.musclewiki.com/media/uploads/barbell-male-closegripbenchpress-front.gif,https://youtu.be/b5tEUN9jsGY,"1. 땅에 발을두고 벤치에 평평하게 놓으십시오.막대에 좁은 그립으로 팔을 똑바로 펴십시오.
2. 막대를 낮은 미드 가슴으로 낮 춥니 다
3. 팔꿈치를 잠글 때까지 천천히 막대를 올리십시오."
Cross Pushdown,Cables,Advanced,https://musclewiki.com/Cables/Male/Triceps/Cross-Pushdown,https://www.musclewiki.com/media/uploads/cable-male-crosspushdown-front.gif,https://youtu.be/Dv-Rp8gQfmo,"1. 두 핸들을 사용하거나 첨부 파일이 전혀 사용되지 않습니다.케이블 크로스 오버의 양쪽을 상단으로 설정해야합니다.
2. 각 케이블을 반대 손에 잡는 기계의 중앙에 서십시오.상단 팔은 몸통과 함께 45도 각도에 있어야합니다.
3. 수축이 느껴질 때까지 팔꿈치를 연장 한 다음 시작 위치로 돌아갑니다."
