exercise,equipment,difficulty,link,img_link,video_link,step
Barbell Squat,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Quads/Barbell-Squat,https://www.musclewiki.com/media/uploads/barbell-male-highbarsquat-front.gif,https://youtu.be/X9AaFTU5t5c,"1. Stand with your feet shoulder-width apart. Maintain the natural arch in your back, squeezing your shoulder blades and raising your chest.
2. Grip the bar across your shoulders and support it on your upper back. Unwrack the bar by straightening your legs, and take a step back.
3. Bend your knees as you lower the weight without altering the form of your back until your hips are below your knees.
4. Raise the bar back to starting position, lift with your legs and exhale at the top."
Leg Press,Machine,Intermediate,https://musclewiki.com/Machine/Male/Quads/Leg-Press,https://www.musclewiki.com/media/uploads/LegPress-Front-021316.gif,https://www.youtube.com/watch?v=4HLMuZqcg2k%7C,"1. Place your legs on the platform with your feet at shoulder width.
2. Release the weight and extend your legs fully, without locking your knees.
3. Lower the weight until your legs are at a 90° angle (but DO NOT allow your butt and lower back to rise off of the pad. This will put your lower back in a rounded position, which is very dangerous.)
4. Raise the weight back to starting position."
Leg Extension,Machine,Intermediate,https://musclewiki.com/Machine/Male/Quads/Leg-Extension,https://www.musclewiki.com/media/uploads/LegExtension-Front-021316.gif,https://www.youtube.com/watch?v=dUmXckio8RY%7C,"1. Sit on the machine with your back against the cushion and adjust the machine you are using so that your knees are at a 90 degree angle at the starting position.
2. Raise the weight by extending your knees outward, then lower your leg to the starting position. Both movements should be done in a slow, controlled motion."
Barbell Curtsy Lunge,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Quads/Barbell-Curtsy-Lunge,https://www.musclewiki.com/media/uploads/barbell-male-curtsylunge-front.gif,https://youtu.be/wf24lVEsmLU,"1. Place the barbell on your back
2. Step your foot back and around while simultaneously bringing the weight down.
3. Return to start and repeat on other leg."
Split Squat,Cables,Advanced,https://musclewiki.com/Cables/Male/Quads/Split-Squat,https://www.musclewiki.com/media/uploads/cable-male-splitsquat-front.gif,https://youtu.be/IhwS7Z-Fsg0,"1. You can use any attachment on this exercise. Cable should be set all to the bottom.
2. Grab the attachment and walk back a few steps. Take a split stance. One leg in front and one behind.
3. Break at the knees and hips to initiate the split squat. Make sure your back knee touches the floor.
4. Squat back up into a standing position."
Standing Leg Extension,Cables,Advanced,https://musclewiki.com/Cables/Male/Quads/Standing-Leg-Extension,https://www.musclewiki.com/media/uploads/cable-standinglegextension-male-side.gif,https://youtu.be/bEOW7J5dPqs,"1. Stand upright facing away from the cable crossover with the cable set to the height of your hips. Use an ankle/wrist attachment.
2. Extend at the knee against the cable."
Spanish Squat,Band,Advanced,https://musclewiki.com/Band/Male/Quads/Spanish-Squat,https://www.musclewiki.com/media/uploads/band-male-spanishsquat-side.gif,https://youtu.be/REa8GQhj0x4,no data
Band Leg Press,Band,Advanced,https://musclewiki.com/Band/Male/Quads/Band-Leg-Press,https://www.musclewiki.com/media/uploads/band-male-legpress-side.gif,https://youtu.be/Yv655yW70hU,"1. Lay flat on the ground with your head by the anchor point of the band, which should be 6 to 12 inches above your head
2. Place the band around your midfoot and extend at the knees and hip."
Goblet Bulgarian Split Squat,Dumbbells,Advanced,https://musclewiki.com/Dumbbells/Male/Quads/Goblet-Bulgarian-Split-Squat,https://www.musclewiki.com/media/uploads/male-dumbbell-goblet-bulgarian-split-squat-front.gif,https://youtu.be/hqm4c0zkuD8,"1. Holding the dumbbell in a goblet squat place your foot on a bench or box.
2. Break at the hips and knees. Try to go to the point where your hamstring is parallel with the ground. Or until your back knee taps the floor.
3. Make sure to keep your back flat and your elbows directly under your fists."
Barbell Bulgarian Split Squat,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Quads/Barbell-Bulgarian-Split-Squat,https://www.musclewiki.com/media/uploads/male-barbell-bulgarian-split-squat-side_ZYzyhEn.gif,https://youtu.be/qdzgByB7Te8,"1. Find a box or bench that is roughly knee height or a few inches lower. (The lower the box is the lower the mobility requirement).
2. You can either place your toes or the top of your foot on the box. Point your front foot forward or slightly turned outwards and break at the knees and hips simultaneously.
3. Aim to get your front leg to hit parallel depth (hamstring parallel with the ground) or lower.
4. The further forward your front foot is, the longer the Range of Motion is at your hips. The further back your front foot is, the longer the ROM at your knees."
Front Squat Olympic,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Quads/Front-Squat-Olympic,https://www.musclewiki.com/media/uploads/male-barbell-front-squat-olympic-side_5Awe0Dt.gif,https://youtu.be/7kgpPaxVOtE,"1. Measure your hands by the markings on the bar to make sure you're even. Then throw your elbows underneath the bar.
2. The bar should be set so high on your shoulders it digs into your neck a bit. Make sure to push your elbows up to the ceiling for the entire rep. To make sure you don't get too pitched forward.
3. Use the squat stance you would use for a back or goblet squat. Push your hips back to initiate the squat. Break at the knees until you hit parallel depth.
4. Squat back up to a standing position."
Front Squat Bodybuilding,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Quads/Front-Squat-Bodybuilding,https://www.musclewiki.com/media/uploads/male-barbell-front-squat-bodybuilding-front_EJTjKlp.gif,https://youtu.be/tj5rYWVvaEw,"1. Measure your shoulders against the bar to make sure you're even. Throw your shoulders under the bar. The bar should be digging into your neck slightly.
2. Make sure to push your elbows up to the ceiling for the entire rep. To make sure you don't get too pitched forward.
3. Use the squat stance you would use for a back or goblet squat. Push your hips back to initiate the squat. Break at the knees until you hit parallel depth.
4. Squat back up to a standing position."
